id,text,created_at,retweet_count,reply_count,like_count
1909244883874787557,"we're giving access to just a handful of select apps at a time until the public SDK release later this year

we're calling the first 10 ""cohort 1""",2025-04-07T14:00:27.000Z,0,2,5
1909244342633455804,"the first 10 projects to be completely chain-abstracted using Universal Accounts will go live before you know it

chain abstraction",2025-04-07T13:58:17.000Z,4,12,34
1909239903021379732,GM UX MAXIS,2025-04-07T13:40:39.000Z,1,13,19
1909014011951095910,@AlbrightMusk @AHorlaplusone @grandpa_layne @RealNica4 @Four0905 UX maxis,2025-04-06T22:43:02.000Z,0,1,2
1908937267072369047,"if you get shaken out in a market like this, you weren’t serious in the first place

conviction may be the most important trait in crypto",2025-04-06T17:38:05.000Z,2,11,51
1908553294340816900,"@naruto11eth @AvailProject @megaeth_labs @monad_xyz @keoneHD damn I need to post more I guess

chain abstraction chain abstraction chain abstraction",2025-04-05T16:12:19.000Z,0,1,3
1908522879974580719,"@mraltantutar one of the biggest indicators I've found is the *question and answer* format for explaining an idea.

like:

""The purpose? To avoid sounding like AI.""

if something has this question:answer thing it's like 99% AI generated. overused",2025-04-05T14:11:27.000Z,0,0,2
1908454724786860158,@ri5hitripathi ong,2025-04-05T09:40:38.000Z,0,0,1
1908454267570045363,@naruto11eth @AvailProject @megaeth_labs @monad_xyz @keoneHD chain abstraction,2025-04-05T09:38:49.000Z,0,1,1
1908449046387450120,"post-tge is simple if you actually build products worth using:

1. build something of value

2. and maintain a specific, measurable goal https://t.co/J9PWVz2gFO",2025-04-05T09:18:04.000Z,2,5,19
1908300398395265273,@Megalodon9491 @UseUniversalX @ParticleNtwrk 🫡,2025-04-04T23:27:24.000Z,0,0,1
1908247277493510316,"YES you can trade OOGA on berachain using assets from any other chain

just bought some using SOL

only on @UseUniversalX https://t.co/HUvJRXFjfe https://t.co/dzVqhyt9s9",2025-04-04T19:56:19.000Z,3,4,30
1908218552374435958,@KhanAbbas201 @UseUniversalX 🫡,2025-04-04T18:02:10.000Z,0,0,1
1908188203984601439,the neon sign stays on https://t.co/tWrMlGZ5Ez,2025-04-04T16:01:34.000Z,1,4,14
1908187835590717926,@Morningstar_VC @ParticleNtwrk never bridge again,2025-04-04T16:00:07.000Z,0,0,1
1908151117227098440,@0xNairolf based and UXpilled,2025-04-04T13:34:12.000Z,0,1,3
1908142610566566163,rule 1: don't get shaken out https://t.co/paZNE8mIL8,2025-04-04T13:00:24.000Z,5,3,29
1908138253544210799,@buecat @LimitMM @Macr0Mark @matrixthesun @rare_theGem @Megalodon9491 @CharcoOnchain @iam_LeriK @Sadwire23 @The_Tradeguru @0x_scientist UX maxi,2025-04-04T12:43:05.000Z,0,0,1
1908137780082856329,@gioz31 followed,2025-04-04T12:41:12.000Z,0,0,1
1908125496719671438,@Bakul_RACA UniversalX is for everyone.,2025-04-04T11:52:24.000Z,1,0,1
1908123538277441882,@Kadoosh1e followed,2025-04-04T11:44:37.000Z,0,1,1
1908120072335355995,@wang95779713 ux maxi in bio. followed,2025-04-04T11:30:51.000Z,0,1,1
1908119267800711224,"follow everyone here

ground zero

chain abstraction
https://t.co/I1xkTRA8R9",2025-04-04T11:27:39.000Z,3,10,28
1908117780794421509,@gioz31 NBA NBA,2025-04-04T11:21:44.000Z,0,0,1
1908104980416094624,@anoma real,2025-04-04T10:30:52.000Z,0,0,1
1908084666806243540,@AHorlaplusone @UseUniversalX yeah here on X,2025-04-04T09:10:09.000Z,0,1,1
1908082230968394009,@camara_gn @UseUniversalX limit orders coming first,2025-04-04T09:00:28.000Z,0,2,2
1908081175576351032,"doing my weekly livestream in 4 hours

shooting the shit; answering any questions, going over some @UseUniversalX updates and upcoming plans, etc.

join up. 1PM UTC https://t.co/biOfkklOjw",2025-04-04T08:56:17.000Z,3,6,26
1908078770927317190,@mraltantutar @LimitMM @Macr0Mark @matrixthesun @rare_theGem @Megalodon9491 @CharcoOnchain @iam_LeriK @Sadwire23 @The_Tradeguru @0x_scientist UX Maxi.,2025-04-04T08:46:44.000Z,0,0,3
1907945831304708493,@BunnyGirlBags @ParticleNtwrk @Megalodon9491 chad,2025-04-03T23:58:28.000Z,0,1,4
1907916305505857736,@robyhedge @LimitMM @Macr0Mark @matrixthesun @rare_theGem @Megalodon9491 @CharcoOnchain @iam_LeriK @Sadwire23 @The_Tradeguru @0x_scientist UX maxi,2025-04-03T22:01:09.000Z,0,0,5
1907914837319184408,"BE A UX MAXI

add it to your bio

chain abstraction https://t.co/hBCD2QgI3f https://t.co/FsQqdTvg1S",2025-04-03T21:55:19.000Z,12,20,43
1907899078215713008,".@UseUniversalX keeps getting tagged here

yes it fixes this whole problem

onchain CAN be better than CEXs.

chain abstraction https://t.co/t6rN5LfPdK",2025-04-03T20:52:41.000Z,1,5,22
1907898372499058844,@CharcoOnchain tuff,2025-04-03T20:49:53.000Z,0,0,1
1907867587679273460,@lincolnarunga @ParticleNtwrk sure,2025-04-03T18:47:34.000Z,0,1,1
1907814514994602283,"never bridge again

2025 is the year of chain abstraction https://t.co/WL7TVRMkQI https://t.co/0pe2PPvdLK",2025-04-03T15:16:40.000Z,10,11,32
1907772844219707398,@KhanAbbas201 @binance @UseUniversalX,2025-04-03T12:31:05.000Z,0,2,6
1907746494863782331,@bhxlla yeah zerodev is a solid one. we’re competing in a sense,2025-04-03T10:46:23.000Z,0,1,1
1907740148567335057,@TheDeFISaint @ParticleNtwrk 🫡,2025-04-03T10:21:10.000Z,0,0,1
1907739901497372948,"if you're a UX maxi (needs to be in your bio) and want a @ParticleNtwrk capybara, lmk

will ship https://t.co/gv8TwUAtzD",2025-04-03T10:20:11.000Z,6,23,45
1907730544873582798,"literally any app from any vertical will be chain-abstracted in a few lines of code

all of this is happening sooner than you think

NBA https://t.co/cVke32007r",2025-04-03T09:43:00.000Z,0,9,30
1907655563967930851,@AlbrightMusk @UseUniversalX @0xpeterpan_ 🫡,2025-04-03T04:45:03.000Z,0,1,2
1907538923750043968,@GTambunan9474 @UseUniversalX damn pretty good,2025-04-02T21:01:34.000Z,0,1,1
1907533557800530176,be a UX maxi https://t.co/TQYbovGW6L,2025-04-02T20:40:15.000Z,1,2,11
1907532780793471207,@TetanggaMuu__ @UseUniversalX nice,2025-04-02T20:37:09.000Z,0,0,1
1907532510512517254,@Megalodon9491 chad,2025-04-02T20:36:05.000Z,0,1,1
1907522148215763029,"OPOUX

Only Possible On UniversalX https://t.co/JNsxWAFTpy",2025-04-02T19:54:54.000Z,1,3,20
1907519883371491555,"new @UseUniversalX update:

+ you can trade pre-bonding pumpfun tokens now 
+ running a campaign giving away some $PARTI for a week 
+ lots of quality of life improvements  

told y'all we ship constantly https://t.co/Q9RRjKUQVE",2025-04-02T19:45:54.000Z,3,4,28
1907516288290652227,@AlbrightMusk @UseUniversalX real ux maxi,2025-04-02T19:31:37.000Z,0,1,2
1907515654338666912,"just show up every day

and have a specific goal",2025-04-02T19:29:06.000Z,1,2,20
1907515555395023044,@Kadoosh1e @UseUniversalX fartcoin is outperforming everything else in my port,2025-04-02T19:28:42.000Z,0,1,1
1907515208949707220,@grandpa_layne @UseUniversalX only possible on universalx,2025-04-02T19:27:20.000Z,0,0,1
1907509425713377458,show me your biggest gainer on @UseUniversalX and I'll drop red packets to my favorites,2025-04-02T19:04:21.000Z,15,25,42
