username,content,likes,retweets,replies
0xNairolf,"""bro wat is slashing?""

An explanation of slashing and what does it changes for 
@eigenlayer
, in (very) simple terms.",69,11,21
0xNairolf,"incentivization is both crypto’s biggest advantage and its biggest weakness

used right, it accelerates real adoption

used wrong, it just attracts the wrong users",54,0,30
0xNairolf,(guess in what bucket we're rn),5,0,2
0xNairolf,"stablecoins are the biggest winners of this cycle

craziest things? they are growing with (near) zero marketing",117,9,44
0xNairolf,"""anything else?""

Yep, slashing conditions are programmable.

Every AVS can define its own rules for what counts as a doing things wrong. It could be anything, depending on what they’re building.",8,0,1
0xNairolf,"""tldr""

Slashing is the penalty given to people who help secure EigenLayer’s AVSs if they don’t do their job properly.

In practice, they lose part of their staked ETH when they misbehave.",7,0,0
0xNairolf,"controversial take: 

what base did is great and going in the right direction

you’ve got apps, you highlight them and you give them all the support possible. that’s how it should be: give builders a platform, make noise around their work and help them grow

the real prolem? this",161,12,48
0xNairolf,"real question:

why did CT get so pessimistic?",130,4,86
0xNairolf,"cool to see more projects focused on data, especially the private kind

if we want better AI, it needs real, high-signal data to train on

right now, no one has a reason to share it

ORO looked pretty interesting to me because it actually tries to fix that",54,4,15
0xNairolf,"observation: 

we see way less cute small mascots nowadays and it feels SO GOOD",39,1,16
0xNairolf,"convinced my entire family to download metamask

and now we are all loosing money together

how wholesome",98,9,32
0xNairolf,"80k followers 

no mutuals

alright bro you’re so legit for sure",258,3,67
0xNairolf,"every chain must focus on one niche 

(even the general-purpose ones)",61,9,29
0xNairolf,"random thoughts: 

- we’ll always need more infra
- most people here don’t feel like they belong in what crypto has become
- crypto needs a new narrative",135,8,64
0xNairolf,"is it just me or does it feel wrong that AI has still over 30% in total mindshare?

would say rollups / L2s / apps are taking the lead now",59,13,18
0xNairolf,"we should stop pretending daily transactions or active addresses actually mean something

most of these numbers are botted to death and serve one purpose: to impress VCs and fool people

if your no-name altL1 has 1.5 million “active” addresses, maybe the only thing active is the",275,41,80
0xNairolf,"that app might actually be 
@noise_xyz
 

> good virality with pnl screenshots
> gated with codes = hype up 
> mindshare doesn't care if it's the bull or bear market
> distribution from both kaito and megaeth

and ngl it's pretty fun",92,8,25
0xNairolf,"you can have a decent timeline without moonboys if you just follow these accounts

kaito leaderboards are an underrated way to create a good feed and easily find great content

(nairolf is a bear market account btw)",70,2,32
0xNairolf,"NFTs as a use case is *extremely* underrated 

- best way to grow a loyal community
- infinite potential ideas
- collectible (so lead to some irrationality) 
- already had its scammy moment

pretty sure they will come back at some point",111,17,49
0xNairolf,"really feel a shift in crypto right now from infra to apps

in terms of funding, demand and energy 

looks very good",188,17,67
0xNairolf,"they told me to worry about anon pfp

but the biggest scams are from doxxed ppl lol",148,6,40
0xNairolf,"(not so) hot take: 

an infra project is as good as its ecosystem",70,5,28
0xNairolf,"im so bullish on sports to onboard a ton new users to crypto 

but come on... why do we only do things that wrong...? 

$10k for an nft is not how you'll make crypto friendlier to more people",50,4,23
0xNairolf,"in a chain abstracted future, what matters is the tech proposition of your chain

not its social clout",86,15,38
0xNairolf,"real question: 

is it even possible to find tokenomics that benefit everyone?",157,23,127
0xNairolf,gud sunday,80,3,29
0xNairolf,"real question:

why isn’t brand loyalty as strong in crypto as it is in other industries?",118,12,103
0xNairolf,"best timing ever for a consumer app right now

people are bored and look for something to do

99% chance of hit",160,21,49
0xNairolf,"UX in crypto is so terrible that even if we solve the distribution problem, we won’t be able to retain users 

it shouldn’t feel like a new internet, it should feel like an extension of it",181,22,86
0xNairolf,what if our biggest opportunity was actually to tokenize everything?,145,12,59
0xNairolf,"socialFi could honestly onboard a ton of users (starting with content creators

it's all about realigning the broken incentives from web2",88,4,45
0xNairolf,"restaking is one of the most beautiful things in crypto 

sad to be controversial on this one, but i do think it’s just a education problem",173,18,46
0xNairolf,"the hardest is not to build a community

it’s to make it stick to your project",144,14,53
0xNairolf,"the evm isn't dead and won't be anytime soon 

it's all about making it friendly to more devs",145,21,61
0xNairolf,"all crypto apps will end up integrate AI into their front end 

it's how you will be able to have non crypto native interacting with your product

instead of having to go through the entire wallet/crypto learning curve, users can just prompt in english and it happens

easy",144,21,53
0xNairolf,"biggest community in crypto is abstract rn

no second best

being product centric pays off long term",138,11,43
0xNairolf,"always funny when people call the end of the world like right now

there will always be that next big thing, that new revolutionary tech or project, it’s just about staying open to everything 

there will *always* be a tomorrow",21,0,25
0xNairolf,"we really need an app store for crypto

missing out on so missing things just because it’s so hard to find tbh",365,38,144
0xNairolf,"(not so) hot take: 

giving twitter badges to random people is bad for your project",100,2,45
0xNairolf,"the real edge for a chain or rollup is enabling apps that can't be built elsewhere

could be due to performance, expressivity or composability but it needs to be sticky enough to keep the app there

otherwise, there's no real reason for the app to stay on just one chain",71,7,31
0xNairolf,"best thing happening in crypto ai currently is teams trying to find a real utility / edge

consensus? improving user experience, not random chatbots",117,7,37
0xNairolf,"real question:

why is it so hard for crypto brands to reach people out of CT?",176,10,114
0xNairolf,"seeing more and more building publicly and sharing everything on twitter (yes the bad too)

and that’s fucking awesome 

i just feel more involved in a project when i know what’s going on behind the scenes",69,3,28
0xNairolf,what 4269D chess move is he gonna pull this time?,36,1,17
0xNairolf,"real question: 

why do we keep pretending the end user cares about infra in itself?",151,18,77
0xNairolf,"seems that i gave this Yoink guy a gud tip 

diner is on me for him it seems lmfao",47,1,16
0xNairolf,"""bro, wat is wayfinder""

An explanation of 
@AIWayfinder
, in (very) simple terms.",231,22,42
0xNairolf,"""ok""

Every time the agent uses a route successfully, validators are rewarded.

The more paths that are added and validated, the better the agent becomes.

In short, the community ensures the agent keeps suggesting safe routes and optimizations.",15,0,1
0xNairolf,"""tldr""

Think of Wayfinder as a hub for AI agents that take care of all your DeFi and blockchain needs, from yield optimization to smart contract coding.

The agents suggest optimizations through wayfinding paths, which are secured by validators.",15,0,1
0xNairolf,"shoutout to projects shipping something last couple of days 

a few: 
- 
@Spire_Labs
 and the live public demo of the first based L3 appchain
- 
@capmoney_
 and their $8 million seed round for stablecoins with credible financial guarantees
- 
@redstone_defi
 and their Bolt upgrade",117,22,29
0xNairolf,so used to prices going down that it doesn't even affect my motivation to work anymore lol,66,5,28
0xNairolf,"random list of things still very interesting:

- zkTLS
- specialized and trustless AI
- expressivity 
- exotic stablecoins
- chain abstraction and other ux improvements 
- etc

(yes prices down, but interesting things up)",140,14,40
0xNairolf,"crypto is all about social proof when you think about it 

who you have on your raise, who talk about your project, who gets the most mindshare etc etc 

it can be bought in the short term but it’s earned through quality in the long term",88,10,29
0xNairolf,"real question:

is there a better community building tool than NFTs?",110,10,65
0xNairolf,"8.25m in revenue just in the last three months for kaito (product with demand make money in crypto too? omg) 

one thing id love to see is kaito expanding beyond just crypto, would be interesting to see how it gets adopted in other niches",60,5,27
0xNairolf,"2025 is the year of stablecoins

mindshare has 3x (!) in just two months and we haven't explored non-USD stables yet, probably gonna double by eoy",71,7,31
0xNairolf,"honestly a bit scared of all this vibe coding stuff in crypto

not sure i really want to interact with contracts purely made by AI just yet

(unless they are audited etc ofc but that's scary)",120,6,54
0xNairolf,"CT is so dead while we legit have the best infra set up for apps to be created

all we miss is a good one and all eyes will be on us again",128,12,35
0xNairolf,"even a general purpose chain must start with a niche

AI, DeFi, consumer apps or whatever, you have to start small, build a loyal base and only expand when you're ready

most try to do everything and end up with nothing",111,11,44
0xNairolf,what's the hardest concept to understand in crypto right now?,115,9,96
0xNairolf,cannes with eth at $900 be like,80,1,17
0xNairolf,"monday mindshare: 

- FHE, ZK and memes biggest winners 
- AI and RWAs in free fall 
- L2s and modularity slowly gaining traction weeks after weeks
- big narratives loosing momentum and smaller narratives getting some mindshare",31,3,24
0xNairolf,"no better time than now to see which projects are here for the long term

time to ship, no matter how low we go",160,16,57
0xNairolf,"the ticker is $YOU 

and that’s the only to be bullish on

keep learning, get better every day and u gonna outperform",96,10,39
0xNairolf,crypto has changed my life,214,28,77
0xNairolf,hi,77,2,22
0xNairolf,"real question: 

do we have a better way to raise funds than ICOs?",99,14,63
0xNairolf,"you can't expect content creators to do all the educating

what we need is stronger collaboration between projects, investors and creators

this has the highest odds of success

as much as it hurts, exchanges are doing the best job right now (and the bar is *painfully* low)",120,9,44
0xNairolf,"(not so) hot take: 

grants don't work",180,17,51
0xNairolf,"consumer sectors that would do well in crypto: 

- shopping
- sports 
- education 
- real estate

adoption will come by making products people already know 10x better",174,26,72
0xNairolf,"the best thing about succinct testnet is that it lets users try out tech that isn’t really made for them

that’s genius tbh",86,7,24
0xNairolf,"bridging between ethereum and its rollups should be free imo

that would solve a big problem which is rollups behind seen as different chains than ethereum 

ik technically it’s true but to me this perception hurts ethereum too much",65,2,28
0xNairolf,"crypto translation:

airdrop postponed because of market conditions",31,0,9
0xNairolf,"real question: 

why do we split community from a project ecosystem?",72,4,35
0xNairolf,"if all AI crypto players unite, we might have some sort of an super agent actually pretty soon: 

- private with 
@nillionnetwork
 
- ip-preserving with 
@StoryProtocol
 
- specialized with 
@OpenledgerHQ
 
- verifiable with 
@eigenlayer
 

+ so many others",137,17,37
0xNairolf,"(not so) hot take:

adoption is dependent on chain abstraction",101,13,43
0xNairolf,defi and bitcoin might be what keep crypto alive right now,143,16,53
0xNairolf,"the problem is that (nearly) all crypto apps are dependent on the market and its volatility 

that’s why onboarding users and make them stay is so hard",77,6,34
0xNairolf,"random predictions: 

- crypto will be mobile first
- DeSci is useless
- DePIN will onboard more users than memecoins",198,20,64
0xNairolf,"> be an europooor
> get paid in usd
> be invested in crypto 
> hold some sp500

rip",111,7,15
0xNairolf,"ok, CT knows it's a bear market lol 

mentions over 20x",52,6,10
0xNairolf,"""bro, wat is pendle""

An explanation of 
@pendle_fi
, in (very) simple terms.",297,42,53
0xNairolf,"somehow NFTs are one of the concepts i like the most 

this has so much potential but so under explored 

what’s missing is simply a killer use case (no sorry PFPs aren’t)",65,4,37
0xNairolf,"""cool and?""

Anyone can then earn a fixed yield on their assets, but also buy yield, just like your friends did with your apples.

The coolest part is that Pendle makes those principal and yield tokens liquid, meaning you can sell them anytime.",10,0,1
0xNairolf,"""tldr""

Pendle splits yield-bearing tokens into two: principal and yield tokens. Users can earn a fixed and guaranteed yield on their assets, while traders can bet on yield fluctuations.

Also, these tokens are liquid, so you can sell them whenever you want.",19,0,1
0xNairolf,"the EVM has been made faster

the next step is to make it more expressive",123,23,42
0xNairolf,"real question: 

what's missing for NFTs to gain more adoption?",133,26,140
0xNairolf,"been talking to some web2 apps recently and their challenge in joining web3 is educating their users 

create a wallet, fund it, deal with popups, etc

all those frictions are barriers that they dont want to deal with",101,6,48
0xNairolf,"""bro, wat is doublezero""

An explanation of 
@doublezero
, in (very) simple terms.",295,42,54
0xNairolf,stablecoins mindshare has never been higher,107,12,30
0xNairolf,"there is actually more pmf in crypto than i was thinking

- oracles 
- indexers
- explorers
- provers

no one really talk about them, but they are actually used",364,52,97
0xNairolf,"my take is: it gets the job done 

that might be the right path for user experience: no need to overcomplicate things, we just need something easy and reliable that works",71,0,44
0xNairolf,"""yes?""

DoubleZero creates another water pipe. Only high-quality data (like your transaction) can flow through this pipe, avoiding congestion in other pipes.

Cool thing? People with unused dark fiber can add it to the pipe (unused fiber cables), increasing decentralization.",10,0,1
0xNairolf,"""tldr""

DoubleZero creates a fast, priority lane for data transmission. Instead of competing with the broader internet, blockchains send and receive data directly through DoubleZero.

It’s like a special internet made for filtered blockchain data.",15,0,2
0xNairolf,"the future of ethereum L2s has somehow never looked better

- 
@base
 with massive distribution
- 
@fluentxyz
 adding more expressivity
- 
@megaeth_labs
 bringing s-tier performance

gonna be fun to watch",199,15,62
0xNairolf,"getting more devs onchain will only happen if we start supporting a lot more programming languages

you want them to build with what they already know

devx is often forgotten but it's so important",107,9,48
0xNairolf,"ai still is the most probable next PMF in crypto:

- privacy 
- UX simplification
- verifiability 
- specialization 

so many contenders",101,7,30
0xNairolf,"terrifying how many ai bots are on twitter rn and the worst part is that some are almost impossible to detect

proof of humanity is more necessary than ever",112,5,53
0xNairolf,"adoption has actually increased, it just depends on what you’re looking at

defi and stablecoins are both near ath 

maybe the only two pmf (for now)?",82,10,30
0xNairolf,"crypto has the power to gamify absolutely everything

kaito gamified CT with yaps but could be expanded to any niche or platform

fantasy top could legit be applied to everything, from content creators on every platform to every single competition in the world",60,8,20
0xNairolf,"best user experiences:

> minimize amount of click needed
> are stupidly easy
> abstract away the blockchains notions 

tldr: users are lazy, adapt",182,25,51
0xNairolf,"few reasons: 

- you can easily spot legit projects (they keep shipping)
- tokens launching now start at super low valuations, so downside limited
- competition for mindshare is much lower => easier to grab CT attention
 - people still on CT are high quality => good reach",29,4,9
0xNairolf,"(not so) hot take: 

those market conditions are actually great",61,5,21
0xNairolf,"compliance will be unavoidable if we actually want mass adoption

the space might hate it, but we’ll have to play by the rules at some point

who's building the compliance layer?",60,10,30
0xNairolf,"all blockchains will be fast and cheap in the future

this is not how you differentiate anymore

better have a good ecosystem or bring something unique to the game",304,40,89
0xNairolf,"hiring someone skilled in crypto is legit one of the hardest things

- lots of supply (quality is really poor) 
- takes tons of time to identify quality people
- then figure out it's super competitive between projects

(btw, it's true for all positions)",362,28,77
0xNairolf,"monday mindshare:

- boring week
- SVM, rollups and L2s showed some relative strength
- last week's holy trinity (ETFs, RWAs and stablecoins) had the biggest losses
- interesting fact: modularity continues to climb higher",82,4,26
0xNairolf,"my take is:

crypto curious want decentralization but average person is scared of it",82,9,37
0xNairolf,"the best product from this cycle is invisible, has 10x the overall UX and no one talks about it

put some respect on privy",175,15,28
0xNairolf,"(not so) hot take:

paid twitter ads is the biggest red flag for a project",144,13,47
0xNairolf,"real question: 

do people really want decentralization?",308,38,227
0xNairolf,"founder-led marketing is outdated, the whole org has to participate 

best strategy? each contributor focuses on a specific niche",269,20,67
0xNairolf,"best bet for a general purpose chain is to actually specialize into a specific niche

berachain is prime example",80,17,30
0xNairolf,"best thing happening to this space is going away from technical jargon 

verifiability from 
@eigenlayer
, expressivity from 
@fluentxyz
, blind computation from 
@nillionnetwork
 or specialized ai by 
@OpenledgerHQ
 

this is so much better and understandable than crazy new shiny words",92,9,28
0xNairolf,"random thoughts:

- crypto is tiring 
- speculation is net negative for crypto",80,9,24
0xNairolf,"remember ghibli studio and morning routine?

yea it was this week",70,1,21
0xNairolf,"thought about moving my USDC out of aave for more yield

then realized id need to hold stables called HONEY or fvzsudjvUSD

so, my USDC remains on aave",146,8,46
0xNairolf,"(not so) hot take: 

it's not X, it's Twitter",118,2,32
0xNairolf,"what is bnkr? and why does it have 40% mindshare in the AI sector?? 

am i living under a rock or something? never heard of it",189,33,58
0xNairolf,"real question:

why do people consider bridges as apps and not infra?",110,11,56
0xNairolf,"as an infra provider, the thing you should market to users is your ecosystem, not ur tech 

so many projects just focus on explaining the tech, while realistically no users will ever use it 

they will just use ur apps",77,15,26
0xNairolf,"sad but i only use 3 crypto apps regularly:

- kaito
- aave
- universalx

shows the lack of things to do (don’t tell me i can farm xyz testnets)",271,12,102
0xNairolf,"""bro, wat is expressivity""

An explanation of expressivity, in (very) simple terms.",228,31,35
0xNairolf,"""who dis?""

All chains are expressive to a certain degree. Bitcoin not much, Ethereum a bit more and some even more.

A good example is 
@fluentxyz
 with blended execution. Instead of having to choose between Solana, Ethereum or web2 tools, they blend all of them in the same place",14,0,1
0xNairolf,"""tldr""

Expressivity is about the freedom developers have to build applications the way they want, using tools they're already familiar with and optimized for their use cases.

Tools that increase expressivity include programming languages, libraries, compilers, etc.",13,0,0
0xNairolf,"every time i spot a new app, i remember why chain abstraction is needed *asap* 

> find new app (happy)
> it's on another chain, need new wallet (upset)
> have to find a bridge (bored)
> app ask me to sign 5 popups (fucked)

friction kills retention",135,18,44
0xNairolf,"i read a lot of crypto project articles/tweets and let me tell you: 99% of them are ai generated

there is no personality, it's so sterile and boring as fuck 

why would people even read this? attention is so low and we give them garbage",115,6,42
0xNairolf,"growing mindshare 101:

- be controversial => best way to grab attention
- FUD => if handled well, you come out as the big winner and your community grows stronger
- high-quality content => high-signal content still works
- lobby smart accounts => get people talking about you",116,8,38
0xNairolf,"""bro, wat is succinct""

An explanation of 
@SuccinctLabs
, in (very) simple terms.",616,121,111
0xNairolf,"we need to make vanity metrics uncool

honestly who cares about:
- botted transactions 
- fake users and addresses
- paid followers 

if you dig deeper, there are 100+ more that somehow projects optimize for

can we please spot?",77,4,30
0xNairolf,"(not so) hot take:

we don’t need more stablecoins",75,9,28
0xNairolf,crypto retention tierlist,68,8,14
0xNairolf,"""examples?""
@celestia
 uses Succinct to secure its data attestation bridge, aka Blobstream. (You can read more about it below.)

Some OP Stack rollups, like 
@Mantle_Official
, use Succinct to generate ZK proofs.

But in theory, any app could use Succinct to generate any proof.",29,0,2
0xNairolf,"""tldr?""

Succinct allows applications to request proofs from provers, who will generate and verify them on their behalf for a small fee.

Cool part? No need to use a complex programming language for proving, Rust works perfectly fine.",38,1,0
0xNairolf,"""but succinct?""

Remember, you want to prove ""something"". That’s vague on purpose.

Every app needs proofs: ZK rollups, bridges, games, oracles, AI agents. Whether it’s proving that assets were bridged correctly or that an AI agent followed the right logic, they need proofs.",27,1,1
0xNairolf,"""bro, what is the difference between chain abstraction and cross-chain?""

An explanation, in (very) easy terms.",111,19,26
0xNairolf,"always funny to see shady centralized exchanges trying their best to shit on hyperliquid

market share dropping or what?",22,0,6
0xNairolf,"all this hyperliquid drama brings back the same good old dilemma:

(a) maybe a bit of centralization isn’t that bad
(b) but hey if we dont aim for full decentralization, wtf are we even doing here?",11,1,5
0xNairolf,"(not so) hot take: 

community is part of a project’s ecosystem, not just the apps",70,6,27
0xNairolf,"""the other?""
@ParticleNtwrk
's universal accounts. They give users a single balance across chains, removing the need for manual bridging and gas.

For example, on UniversalX, you can trade a token on Solana using funds from Arbitrum and Optimism, without bridging manually.",6,0,1
0xNairolf,"""tldr""

Cross-chain moves data or tokens from an origin chain to a destination chain.

Chain abstraction lets you choose a destination chain without worrying about how to get there.",13,0,0
0xNairolf,"10k followers but no mutuals??

suspicioussss",104,3,37
0xNairolf,"real question:

why do people act like a team must be doxxed for a project to be legit?",76,3,41
0xNairolf,"there’s no reason for institutions to stick to a single chain

their real incentive is to reach the biggest market possible

this won’t stop at just Solana and Ethereum",51,10,23
0xNairolf,"always have been a big fan of 
@ParticleNtwrk
 and 
@TABASCOweb3
 since early days of chain abstraction 

users shouldn't have to worry about chains, wallets and bridges. ive never understood why we needed to have a version of USDC on arbitrum, optimism and all the others 

we needed",39,4,7
0xNairolf,"short and concise video content is massively underrated

everyone’s obsessed with long-form content, but the truth is: people don’t have time for that anymore (especially in crypto)

if the user can listen and understand a concept in 30 seconds, why waste 10 minutes?",29,0,10
0xNairolf,"what are your biggest red flags for projects? 

i'll start with:

- fully ai-generated comms (website/docs/socials)
- focus on quantity > quality
- chasing every narratives",146,8,60
0xNairolf,"the real alpha? don’t follow the crowd:

- build your personal brand
- try marketing strategies others won’t
- shape that whole new narrative/category

everything is saturated, make your own path",79,5,21
0xNairolf,"if we want AI agents to truly change the way users interact with DeFi, they *must* be safe enough to trust

otherwise, it's just gonna be the next big systemic risk waiting to implode",45,7,26
0xNairolf,"(not so) hot take:

current onramp solutions aren't good enough",57,7,16
0xNairolf,"projects should always optimize for quality content, even if infrequent 

there is *far more* valuable than 1m messages on Discord or tens of threads per day that just rephrase the docs 

once people will understand this simple concept, the space will be far better",22,3,12
0xNairolf,"stablecoins mindshare vs supply

this is what demand looks like",31,1,15
0xNairolf,"""bro, how can i use kaito as discovery tool?""
@KaitoAI
 has a hidden gem feature that lets you track which projects gained the most smart followers in a given period. Config 

> go to 'Smart Following'
> focus on the 'Market Smart Following' table
> select 'Entity'
> in 'First",139,16,42
0xNairolf,"(not so) hot take:

crypto has a bigger developer onboarding problem than user onboarding",93,21,46
0xNairolf,"all we needed to restart the price going up was:

- people arguing about L1s/L2s
- people debating whether pivoting is good or bad
- people fighting over semantics (onchain or on-chain)
- a terrible ad",27,1,12
0xNairolf,"monday mindshare: 

- memes, AI and ZK are the top gainers, with FARTCOIN and Succinct leading the way
- ETFs and RWAs are crashing
- L2s are making a strong comeback

back to fundamentals? or back to 3 months ago?",31,3,16
0xNairolf,"spoiler: it’s just the cheapest and fastest way to move stablecoins between CEXs

tron is the rebalancing chain",29,7,6
0xNairolf,"return to fundamentals = return to DeFi

that’s about it",205,24,55
0xNairolf,"things to absolutely do in Colombia? 

need recs",11,1,7
0xNairolf,"no one really cares if it’s:

onchain or on-chain
stablecoin or stable-coin
crosschain or cross-chain

it means the same thing",100,10,41
0xNairolf,"happy to pitch you a 1000000000 TPS chain with super giga low gas fees 

interested?",60,6,36
0xNairolf,"happy to announce absolutely nothing 

just touching grass",118,4,37
0xNairolf,"my main point here is that there is a huge distribution problem for apps in crypto

your only way is to get lucky and find apps on Twitter",29,1,12
0xNairolf,"one of crypto's biggest problems is that people are scared of it

- not anyone can deal with a seed phrase
- not anyone wants everything to be decentralized
- not anyone wants to learn how to use a wallet

and so much more, what sounds easy for us is scary for the vast majority",70,9,32
0xNairolf,"building a whole new narrative is harder than most people realize 

they've made it: 

- modularity and 
@celestia
 
- chain abstraction and 
@ParticleNtwrk
 

they'll do it: 

- expressivity and",137,9,36
0xNairolf,"(not so) hot take: 

crypto needs its own app store",135,16,74
0xNairolf,"real question:

why don’t non-USD stablecoins gain traction?",55,5,47
0xNairolf,"sometimes i want to climb kaito leaderboards and get the grants projects offer

but:

- have to post every single day about it
- it feels like im shilling polkadot

so, what to do",24,0,11
0xNairolf,"(not so) hot take: 

99% of projects won't find product market fit",89,6,42
0xNairolf,"my list: 
@megaeth_labs
 and especially the apps in its ecosystem. they manage to have new potential viral use cases, just need to see in practice
@fluentxyz
 and expressivity come to life. want to see what putting all tools from all ecosystems looks like in practice

ethereum's",190,29,40
0xNairolf,"""bro, wat are SLMs""

An explanation of 
@OpenledgerHQ
 specialized language models, in (very) simple terms.",124,41,20
0xNairolf,"market sentiment has bottomed on Kaito 

main drivers: 
- DeFi
- stablecoins
- ETF",44,1,13
0xNairolf,"crypto is the best and the worst industry at the same time

best: open, meritocracy, never stops, innovative 

worst: stressful, toxic, speculative",138,11,46
0xNairolf,"you can’t buy sustainable mindshare 

no kols campaign will do the job, buying bots and followers neither

it takes time and education",82,4,29
0xNairolf,"no marketing agencies will ever outperform a 20yo crypto native 

not a single one",687,58,102
0xNairolf,"(not so) hot take: 

there will never be a perfect tokenomics model",55,5,25
0xNairolf,"it's not about who will ship the most TPS

it's about who will have the best ecosystem and highest degree of expressivity",54,5,18
0xNairolf,"so y’all been waiting and get excited for 150 seconds where he says nothing 

perfect, another day another miss 

but hey america will be the capital of crypto, trust me bro",24,0,7
0xNairolf,"i will go further, the overall user experience right now is truly awful 

pectra is coming soon, and that's great but that doesn't solve the bridging problem, you having to switch chains, wallets and all the other frictions that you know

it's truly time for chain abstraction",12,3,8
0xNairolf,what's your favorite narrative right now:,40,8,26
0xNairolf,"Devnet upgrade: EIP-7702 support

Account abstraction meets expressivity",199,56,56
0xNairolf,"best ways to grow your account: 

- be consistent
- create value 
- build your personal brand",165,13,38
0xNairolf,"rollups are reaching a point where survival depends on their ecosystem

competition has never been this intense, launching a rollup has never been this easy and the biggest apps want their own chain

it's now about you'll make sure your eco stands out and stays",42,14,19
0xNairolf,"(not so) hot take:

airdrop farmers aren't community members",387,25,121
0xNairolf,"did you see all those raises lately?

- level
- crossmint
- halliday
- plume

that’s the best sign that people still want crypto.",68,4,15
0xNairolf,"RWAs are the hottest narrative right now

mindshare up only in 2025",169,23,33
0xNairolf,"""bro, wat is eip7702?""  

An explanation of 
@ethereum
 EIP-7702, in (very) simple terms.",221,36,29
0xNairolf,"performance will always matter, we need high performance chains that's a fact

but if you want more creative and novel apps, you will need to make chains more expressive first",25,0,15
0xNairolf,"the biggest problem in crypto is that always do too much 

- endless new shiny words
- way too long articles 
- overly complex interfaces 

while the key is just simplicity",140,7,56
0xNairolf,"(not so) hot take: 

seed phrase is the biggest barrier to adoption",160,23,77
0xNairolf,"highest daily yaps for this guy nairolf

is this still a thing?",289,11,114
0xNairolf,"big apps will have their own rollup (if not multiple ones)

that's why interop, rollup engines, onboarding tools and stacks have good days ahead",41,6,12
0xNairolf,"""just that...?""  

Nope. You can sign just one authorization to avoid signing the next 50 transactions you'll make in a game.

Paymasters also become possible. Simply put, that means someone else could pay for your gas.",16,0,1
0xNairolf,"""tldr""

EIP-7702 aims to make the current regular Ethereum accounts smarter.

It allows for more complex, easier-to-use transactions, like combining multiple actions into one or gas sponsorship.",17,0,3
0xNairolf,"(not so) hot take: 

performance-only chains won't bring new apps",56,8,17
0xNairolf,"a community of 15 strong advocates will outperform 99% of other crypto communities

100k discord members or 1 million twitter followers who do nothing but farm airdrops? doesn't matter",79,8,30
0xNairolf,"want a perfect example? solana's ads 

> create a big backlash 
> all eyes on you 
> spoiler: a new banger video will drop today 
> win 

this playbook is undefeated",36,3,16
0xNairolf,"what are the best qualities of founders?

i’ll start:

- product centric 
- authentic 
- open minded",194,12,80
0xNairolf,"people trust people more than any form of marketing 

that's why personal accounts are *so* powerful",81,11,16
0xNairolf,"being product centric is the biggest green flag that a project can have

ship, iterate, collect feedback, repeat

no second best",138,19,26
0xNairolf,"the best way for a SocialFi app or decentralized social media to take on twitter or facebook is by rewarding creators more

all current revenue sharing models suck

put creators at the center, incentivize them and they will leave their centralized alternatives",33,4,22
0xNairolf,"have to put some respect on Succinct testnet 

not the sexiest product to market but yet found a way to make it playful, fun and engaging

the invites system is well designed, creates fomo and sounds pretty fair

the gamification is top tier and not extractive

ggwp",73,5,22
0xNairolf,"best apps we've had this cycle: 

- pendle
- kaito 
- hyperliquid
- universalx
- polymarket

they all have one thing in common: they put a lot of effort into making the UI/UX as smooth as possible

spoiler: it works",643,62,150
