username,content,likes,retweets,replies
TimBeiko,"Reconfiguring AllCoreDevs 

To deliver on Ethereum's ambitious L1 roadmap, we should decouple planning and execution. To that end, I'm proposing we reorient ACD to focus on scoping future forks, and elevate our existing testing calls as the main venue for the current ones.",966,435,196
TimBeiko,"Very productive AllCoreDev call today

Final shaping of the Fusaka hardfork!",180,57,13
TimBeiko,".
@nayafia
 and 
@tmbr_ss
 are live on the Summer of Protocols YT chatting about antimemetics",16,3,14
TimBeiko,"1/6  Ethereum's upcoming regular Thurs protocol development call: ACDE #209
10 Apr 14:00 UTC

Pectra is already scheduled - we're transitioning to mostly talking about Fusaka (the next hard fork) and process decisions",136,14,5
TimBeiko,"What's the best example you've seen of a technical product/feature requirement document? What made it great? 

If not tweetable, I accept [REDACTED] versions via DM",38,7,9
TimBeiko,"We are searching for a core maintainer for mev-boost -- a high-profile, high-responsibility role that will put you at the center of MEV and Ethereum infrastructure. 

Please apply!",51,14,4
TimBeiko,The Ethereum Liquidity Facility for (Native) Rollups,138,14,17
TimBeiko,one thing i have always admired about ethereum is that the entire world could be on fire but you can still log onto dev discords and people are acting normal & asking questions about how we can  optimize calldata compression in recursive SNARK circuits,255,22,25
TimBeiko,"One highlight from yesterday's Protocol research call: Toni 
@nero_eth
 on the share of private order flow in blocks today, and the share of their gas cost",42,12,3
TimBeiko,"And, last but not least, once we've agreed to a path forward here, we should make sure it's well documented and clearly legible to the entire community",44,0,1
TimBeiko,"Full post is up on 
@EthMagicians
  Feedback welcome!",78,1,7
TimBeiko,Lack of coherent direction: exclusively relying on a “bottoms up” approach to derive an implementation plan may result in potential mismatches between what should be the focus(es) for protocol development and what actually gets done.,54,0,1
TimBeiko,"Thank you all for joining the call! Had a blast hosting and running through (many ) burning topics.

Sharing a link to the slides in the next tweet, and you can find the YouTube and X recordings in the quote tweet here.",86,13,7
TimBeiko,"Great distillation of short/medium term R&D priorities for Ethereum by 
@adietrichs",225,34,12
TimBeiko,"Privacy is normal 

https://etherscan.io/tx/0x215829ed635d0ae9f7557bd9f40ae218e196e8b7fd097640adc2038b26ecfd1e…",127,13,11
TimBeiko,"Posted some thoughts on ""Paths to SSF revisited"", continuing the conversation started last week on the role of home nodes on the network",167,33,6
TimBeiko,"We had issues with backups being corrupted and it's thus taking longer than expected to bring 
@EthMagicians
 back up. 

This is partially due to the forum having its origins outside the 
@ethereumfndn
, and hence its own, bespoke, infrastructure. 

We're now fixing this, too",72,7,6
TimBeiko,"IMPORTANT ANNOUNCEMENT  
(for Ethereum and 
@gnosischain
 node operators)

-ERIGON DO NOT SUPPORT PECTRA IN ERIGON 2
-MIGRATION TO ERIGON 3 FOR PECTRA IS MANDATORY

Full note:
Despite our previous intention, we've decided not to support Pectra in Erigon 2. Most on the recent",88,52,3
TimBeiko,"Here’s your latest EF Research weekly update

This week’s topics include:
- Introduction of Protocol research call (Apr 2nd)
- A post on decoupling throughput from local building
- New EIPs around blob base fee mechanics
- …among several others

Read on",154,33,6
TimBeiko,"Initiating the ""Checkpoint"" series on the 
@ethereumfndn
 blog - accessible, non-technical overviews of the last 4-5 All Core Devs calls with a sentiment check with what's being focused on",404,228,42
TimBeiko,"Ipsilon has heard your feedback about introspection bans in EOF. 

In addition to the current plan of record (which we still support) we have three options that do not include the bans which will be discussed at ACDE on Thursday: https://notes.ethereum.org/@ipsilon/eof_fusaka_options… 

See you at Eth O'Clock!",35,13,1
TimBeiko,"Had a great chat with 
@laurashin
 and 
@ralexstokes
 on 
@Unchained_pod
 !

Some of the points we discussed:
- Scaling the blobs 2x with Pectra (soon!) and hopefully 8x more with PeerDAS in Fusaka
- Why opting for a market-driven rollup-centric roadmap instead of pursuing in-protocol",49,16,1
TimBeiko,And a post on local building discussing some of the themes we hope to tackle during the first call,31,11,2
TimBeiko,See the announcement of the call at ethereum magicians,35,23,3
TimBeiko,"We're hosting a pilot ""Protocol research call"" next week, Wed. April 2nd at 14 UTC, on the topic of protocol roles and node duties.

Long-term, we hope that this can be a good venue for research, core devs and the community to discuss some of the many questions facing Ethereum.",316,86,21
TimBeiko,"Who is the best online teacher for technical topics (e.g. 201+ level math, engineering, compsci, etc.)? 

Looking for examples that aren't traditional academics who just upload their lectures online. A good example is 
@fastdotai
. Looking for similar ones across domains",75,11,20
