username,content,likes,retweets,replies
_TJRTrades,How this 20 year old trader went from unprofitable to $93k in 90 days (and how you can too),1800,114,403
_TJRTrades,nah bro they are the best performers on my team trust them bro,47,1,8
_TJRTrades,"There’s a 44% chance you’d be born in India.

Just take a moment to be deeply grateful you weren’t.",136000,8900,1900
_TJRTrades,The only time that I don’t use a stop loss is in the bed… cause you best believe I’m not leaving until I’m liquidated,738,49,41
_TJRTrades,China wins all of these unfortunately,258,8,19
_TJRTrades,"BREAKING: The Dow Jones just recorded its highest single-day gain in history, up 2,965 points.",49000,6200,1100
_TJRTrades,NEW: WHITE HOUSE SAYS “MANY OF YOU IN THE MEDIA CLEARLY MISSED THE ART OF THE DEAL”,1200,170,77
_TJRTrades,"bro he literally told us ""good time to buy"" before he pumped the entire market lol

WHAT TIMELINE IS THIS",119000,5300,731
_TJRTrades,"JUST IN:  President Trump says ""China wants to make a deal"" and ""they're in the process of figuring it out.""",16000,2200,927
_TJRTrades,JUST IN:  Amazon cancels inventory orders from China due to tariffs.,53000,6200,1400
_TJRTrades,Bonds are trading like meme coins now,675,17,31
_TJRTrades,"It’s crazy people just realized this not even from the news but from 
@ishowspeedsui
 streams there",143,5,13
_TJRTrades,New age brands must have people & personalities behind them to succeed in the modern landscapes. Few exceptions but rare to see any grow to great status without as of recent.,393,33,7
_TJRTrades,I got rich before I turned 23 like LeBron James,788,23,40
_TJRTrades,I was shadow banned until Jordan taught me how to YouTube properly,205,9,11
_TJRTrades,is it a good time to buy stocks,282,4,12
_TJRTrades,Fullporting,321,6,18
_TJRTrades,End of an era. Giving the Rolls Royce keys away today. Some of you think I’m selling it because I went broke lol… if anything it made me lose more money because the rolls is financed and I had to “realize” the loss on the car and have to pay 40k out of pocket so I’m not “making”,885,13,73
_TJRTrades,The amount of DMs I get daily from females would make you very upset,95,0,15
_TJRTrades,Taking a break from streaming to focus on my trades been a pretty poor Q1 from me tbh,816,7,57
_TJRTrades,Are we in a recession,450,10,76
_TJRTrades,"Whenever I’m unsure which path to take, I remind myself:

Easy path = same me
Hard path = new me

When in doubt choose the one that forces growth.

Comfort won’t change you.",2300,378,118
_TJRTrades,"You don’t measure how good an entrepreneur is by how many businesses they’ve started, but by how many businesses they’ve decided not to start, in order to keep building the one they said they would.",2400,212,233
_TJRTrades,"You’re only in a rush because you haven’t learned how to enjoy the work.

No one rushes something they never want to stop.",5700,625,262
_TJRTrades,$100k/month is the new $10k/month,951,53,63
_TJRTrades,Whenever I get a dm or a text from someone that is a complete stranger or I never talk to and they say they have a huge business opportunity for me it’s usually the worst idea or opportunity I’ve ever seen or heard of in my life :),373,6,48
_TJRTrades,You better than me man  she sleeping in the dog cage if she does some shit like that. I personally just wouldn’t let a girl drive one of my expensive ass whips in the first place I would buy her her own that she can trash that I don’t care about,94,0,10
_TJRTrades,carti watchin everyone love the album after lying for 5 years,71000,3700,468
_TJRTrades,"i feel bad for niggas wit school, jobs, families and futures rn carti got the unemployed folks TURNT",42000,2700,305
_TJRTrades,I influenced carti,443,14,39
_TJRTrades,Made 19 racks today trading nasdaq and ES,403,6,29
_TJRTrades,You know it’s good when you try and add the song to your playlist twice,521,18,28
_TJRTrades,CARTI DROPPPPPPEDDDDDDDDD,399,25,59
_TJRTrades,"Men only give a shit about status nigga

Back in school you wanted 
Freshest kicks
Most clout
Baddest bitches 

Now you want 
Fastest cars
Biggest bankroll 
Baddest bitches 

Nothing's fucking changed lil bro 

Same game just higher stakes",1200,87,19
_TJRTrades,Ragin Asian,65,2,8
_TJRTrades,I stg bro. If this is real,225,7,13
_TJRTrades,I broke whop this morning,100,3,11
_TJRTrades,https://x.com/PeterThompsen9/PeterThompsen98/status/1899592353004097813…,456,5,59
_TJRTrades,Don’t know shit about crypto but you are down 40% and I just bought a house with crypto profits. Thanks for playing,162,6,18
_TJRTrades,I win…,46,1,6
_TJRTrades,You’re my exit liquidity,417,13,36
_TJRTrades,It indeed was a well the news event,60,2,5
_TJRTrades,Every single comment under this tweet was saying I was retarded… now eth is sub 2k and everything is far lower.,96,2,12
_TJRTrades,Might actually sell my rolls Royce to buy the dips would make for insane content,528,13,52
_TJRTrades,Hearing rumors of a recession stay safe and buy the dips,525,14,26
_TJRTrades,Lost 45k today :(,1400,29,266
_TJRTrades,I am actually quite experienced in this trading shi,176,2,19
_TJRTrades,Probably the only person that called the top and bull posted all the way to the top then said he would take profits  respectfully Julian is one of the nastiest swing traders I’ve seen online,945,21,33
_TJRTrades,Only buying index’s right now tbh,214,3,12
_TJRTrades,I escaped the matrix,1500,44,117
_TJRTrades,This would actually be horrible respectfully,164,8,17
_TJRTrades,Another Friday that carti hasn’t dropped,237,3,20
_TJRTrades,Sell the news,199,0,18
_TJRTrades,"By the time you're 30, you'll realize that 99.9% of your problems can be solved by simply owning a Challenger 600.",96,6,4
_TJRTrades,"Trump is a genius 

10yr bonds dropping. Inflation slowing. Market dropping. Think we discussed the possibility a month or two ago of him forcing the Fed to take action

stocks are being sold. Bonds being bought. Mortgage rates come down. Housing market has been frozen. Like",7500,659,669
_TJRTrades,Bro waited 7 years to get revenge,340000,18000,797
_TJRTrades,Least obvious African American,149,2,22
_TJRTrades,Richard milles are great because if you have 5+ bands like I do you literally have 5 different watches it changes the look and style. I have green pink purple red and black,478,15,67
_TJRTrades,Someone asked about it so I posted it. Once again a reminder that twitter users are the most depressed people on earth,149,2,24
_TJRTrades,When it’s factory it’s cool when it’s aftermarket it’s lame,37,2,9
_TJRTrades,Lower high and lower low made thanks for playing.,353,10,31
_TJRTrades,"If Trump removes cap gains taxes from crypto 

We will actually go into a super cycle 

Miami will turn into Dubai on steroids 

Capital will flow in like never before 

The U.S. will return to its golden age",6100,552,456
_TJRTrades,It seems like that you like posting bullshit.,238,5,24
_TJRTrades,"lol btc recovered range levels, are you sidelined?",116,6,15
_TJRTrades,This aged well lol,574,7,54
_TJRTrades,"The fastest way to change your life is to change where you invest:

Look at your calendar for where you spend your time. 
Your credit card statement for how you spend your money. 
And your phone for where you spend your attention.

Change your inputs. Change your outputs.",4500,610,206
_TJRTrades,Lower high being formed. You are exit liquidity,1900,89,273
_TJRTrades,“Never argue with an idiot. They’ll drag you down to their level and beat with experience.” — Mark Twain,2000,241,104
_TJRTrades,"Ordinary people will never approve, applaud, or even understand why you're working so hard. 

And you don't need them to.",5500,627,227
_TJRTrades,TJR bull run,157,3,17
_TJRTrades,The fact that I’ve paid half of this amount is comedy drake and Ken need to get their numbers up https://x.com/WhopIO/status//WhopIO/status/1895972318234759672…,122,3,11
_TJRTrades,"We are actually the matrix attacking you me 
@brezscales
 and 
@twinuzis
 have been plotting this for 5 years now step 1 has already been done… get ready for step 2: you are the method",109,3,14
_TJRTrades,This unironically would solve the majority of the worlds problems,72,2,10
_TJRTrades,You should highkey be using ai to make the majority of your decisions. Humans make decisions based on emotions especially the retarded humans. Be smart make data drive  decisions,571,37,61
_TJRTrades,ChatGPT not holding back,5400,732,143
_TJRTrades,People who call me because they are bored need to find a new hobby,289,11,28
_TJRTrades,"The worst type of people are the ones who call you when it’s something they could easily text you about

Or the 2 minute long voice notes",542,22,25
_TJRTrades,Tjr coin coming soon (jk),155,8,34
_TJRTrades,When is this 10-20% bounce going to happen and can it happen right tf now,357,8,38
_TJRTrades,I drew this line out as a joke,301,6,41
_TJRTrades,Pls bull run so I can stable and get the fuck out,281,9,42
_TJRTrades,Fun fact it’s super easy to get on this list (obviously you need to have made the money) but you can literally just pay for your spot on there,114,3,9
_TJRTrades,Man this month has been bad,874,46,117
_TJRTrades,Bear cycle,319,17,81
_TJRTrades,Sold the hellcat,411,2,50
_TJRTrades,I think about this as well I do know at least as of last year so it’s probably way more now. I had 500+ people join my whop and from there create their own whop and out of those 500 people they cumulatively made 5 million dollars add that to what I’ve made and the people who have,40,1,6
_TJRTrades,Fuck I love this app.,282,9,42
_TJRTrades,If you still use google you are just retarded,188,6,23
_TJRTrades,I might do Ramadan,1200,36,148
_TJRTrades,More people will lose their jobs to laziness than to AI this year.,7400,627,349
_TJRTrades,Ending it all looks good here,643,24,56
_TJRTrades,Jesus fucking Christ bro,714,14,73
_TJRTrades,Just a joke lol I rented the hellcat I’m not mega retarded,119,1,25
_TJRTrades,Crypto is down so bad,1100,56,168
_TJRTrades,Just started,4900,454,767
_TJRTrades,Never let this happen to you it’s easy to say it won’t happen but I’ve let this happen to me in the past luckily it didn’t crush me or my businesses but you need to stand on shit when it comes to the females in your life and it’s going to be hard for them to understand cause they,171,9,6
