username,content,likes,retweets,replies
blknoiz06,the future of social trading drops this week - Bullpen v2 coming soon,2300,440,569
blknoiz06,"Got up at 7:30 today. Getting serious now, might start wiping my face with banana peels too while I’m at it, feeling like David goggins. Rock hard, ready to fuck all the cows and maybe learn some functional programming",51,8,18
blknoiz06,People don't like to admit this,3600,390,46
blknoiz06,"Gotta be honest.  The 
@realDonaldTrump
 EO on healthcare and in particular, drug pricing could save hundreds of billions. 

Here is how:
1. Divorce formularies from PBMs. Require them to come from independent organizations with no economic incentive from the formulary   
Make them",14000,1600,1200
blknoiz06,Fresh grads walking into their Murray Hill 3BD flex apartment before starting their analyst training program at JP Morgan,1400,37,33
blknoiz06,Stanford literally packed 1.5 hours with everything you need to know about LLMs,10000,690,52
blknoiz06,Playing on Hustler tomorrow,80,8,13
blknoiz06,The NFT era of the internet feels like such a weird fever dream in retrospect wtf was even the point of any of that,147000,9500,65
blknoiz06,"feels like we’re getting soft launched into a sci-fi dystopia… but instead of rebellion, ppl just choose comfort n escape. AI didn’t cause the split, it’s just accelerating the fallback plan.",18,2,6
blknoiz06,"people think that humanity gets smarter and more sciencey over time but actually it's more like exercise

if you don't do smart people things then the next generation doesn't smart

we didn't smart

trouble comin'",2900,256,132
blknoiz06,"bifurcation of haves & have-nots w/ the latter encouraged to not have kids seems like intentional programming to me, or maybe just a result of GDP growth not accelerating as much as population growth

either way its working, & AI will make digital fantasy realm even more real for",78,5,28
blknoiz06,Need a dating app where you can filter by their dads net worth and expected remaining life span. Can't do this work thing for 40 years,1500,49,16
blknoiz06,"Stay in contact with your childhood best friends

No one will ever know you better than they do",69,8,16
blknoiz06,"Sell side research must have been a blast in the 90s. No google or AI, just physically dialing into earnings calls and sending a printed report in the mail the next day",646,15,19
blknoiz06,"These Morgan Stanley calcs of the hit to retailer EBIT $ are so draconian I almost don't believe them. They are estimating anywhere from high teens to 70% (TGT) hit, assuming suppliers eat 50%, company eats 25% and they pass through 25%.",320,69,40
blknoiz06,"Yes there are a lot of smart people at hedge funds, but the average analyst (even above average) is a bottoms up guy who makes money in channel checks, tough comps, and g&a modeling. 

Calls, conferences, cold-sandwiches

Not

yield curves, reserve currency, global trade",572,14,23
blknoiz06,"There's a type of unemployed guy that unironically has pride in it because he's ""not a wagie"" or some shit as if jacking off and playing video games for 14 hours a day is somehow more dignified

An entire personality constructed out of laboratory grade copium",148,11,20
blknoiz06,"don't overthink it, just follow the grift. free money here.",98,5,13
blknoiz06,"Iron condor 

Example : 

Sell 75k put

Buy 70k put 

Sell 95k call

Buy 100k call",66,5,7
blknoiz06,"short strangle, sell 95K call and 75K put, roll weekly

do it on 
@Synquote
, DM me if need help",41,3,6
blknoiz06,how do i bet on weekly not closing above 95k or below 75k for two months whats the option bros saying,703,19,157
blknoiz06,"too many unknowns & don't think we've seen real effects of current admin's policy until they actually work through economy this quarter, seems like general person is still overly optimistic in the ""nothing ever happens"" camp",213,7,28
blknoiz06,good joke,44,10,30
blknoiz06,"I'm married with a joint account idk if we go 50/50, 75/25, 100/0 all i know is bills paid, kids straight and it's dinner when I get home from work",17000,2400,151
blknoiz06,"“No one gets a head start or access to privileged information… Your success depends on how fast and how well you execute, not on who you know… That kind of environment is rare in crypto. And for devs who want to compete on product, not politics, it’s a breath of fresh air.”",73,7,6
blknoiz06,what i miss,407,33,417
blknoiz06,"I mean in all honesty 

$PROMPT has the low float and a good valuation 

If any AI speculation comes back to crypto it's well positioned as well as listed on a lot of big exchanges 

I got destroyed on my caching but I like the double down

Wayfinder",118,8,19
blknoiz06,when is the tax deadline for girls?,520,31,32
blknoiz06,"if you haven’t tried o3 yet, trust me on this when i say it’s insanely impressive

been using it for about a week now and it’s the only model yet to pass my own personal eval (sporbench)",57,4,7
blknoiz06,hahahahahahahahahahhahah,170,18,54
blknoiz06,we're down bad bros,784,50,218
blknoiz06,"On the latest episode of 
@_Fullport
 

@salxyz
 walks viewers through Bullpen's Hyperliquid Beta.

Our quants truly created the easiest way to access Hyperliquid on the go.",42,8,12
blknoiz06,"Treeverse Season 1 in 3 days (long time in Crypto, but just around the corner :D) - April 19th.

Will share more info on official socials and my account pre-launch. Full blog below for details right now.",73,8,31
blknoiz06,"We'll be hosting a Spaces on everything Step Group in ~4 hours! 

Join 
@George_harrap
 + 
@ceagleoneism
 for an update on all Step Group brands (
@SolanaFloor
 @RemoraMarkets
 @SolanaAllstars
) on this Pre-
@SolanaCrossroad
 community spaces!

RSVP here:",70,33,28
blknoiz06,SIXTY????,692,66,283
blknoiz06,this dumb as hell,121,13,79
blknoiz06,lmfao,99,11,46
blknoiz06,british people prolly call this “nuts and bolts” or some shit,300000,13000,1100
blknoiz06,bro is on ct for sure,124,6,57
blknoiz06,It’s a clown show being ran at PrizePicks,24,13,7
blknoiz06,$200? She could’ve hit a ladyboy for that,45,10,12
blknoiz06,"dont you want somebody to love 
dont you need somebody to love",89,17,12
blknoiz06,brother - you're causing the ambiguity,134,18,8
blknoiz06,Now I know why my dad used to wake up at 4AM and just sit at the kitchen table for an hour,251000,14000,1600
blknoiz06,"China has been preparing for true war for years.  They believe in the Thucydides trap and similar ideas that suggest china<>US war is inevitable.   (I’m taking in a timeframe of years, not months.) With the mineral ban, this likely becomes the “come to Jesus” moment for the US",188,23,36
blknoiz06,"Upskilling, getting your education, learning a trade, learning AI skills, etc is not harder than being in poverty, being unemployed or being broke 

Make a choice",402,90,12
blknoiz06,"The haters and losers of which there are many will tell you that you shouldn’t spend +$100 on a haircut

The haters and losers are wrong",31,5,13
blknoiz06,LMFAO,190,20,48
blknoiz06,These damn kids in my backseat talkin bout Batman with prep time would beat Jesus,38,6,11
blknoiz06,"Only thing i do know is that markets are forward looking and do not like uncertainty, same as people´s confidence in the economy can change quickly and seems to be already seriously affected

World obviously entering into quite a chaotic phase, and we will clearly see serious",155,5,12
blknoiz06,rappers in their songs vs when it’s time to fight racism,25000,10000,53
blknoiz06,"This is exactly what I’ve been talking about.

There was no reversal, no softening, no “exception.” Just a strategic reclassification same tariff, different bucket. That’s the whole point. This system was never meant to be clean or linear. It was designed for controlled chaos to",336,59,30
blknoiz06,Upstate New York,7300,846,25
blknoiz06,"We will now only be able to get common, uncommon, and epic earth metals",155,5,25
blknoiz06,listen man i am not claiming that i can im just saying its chaotic we wont know whether it was good or bad until probably a year from now & think anyone claiming victory for any one party early is silly,89,0,53
blknoiz06,"People need to stop saying things like schizophrenic, it detracts from what it actually is. 

Incompetence.",51,4,17
blknoiz06,hes worth WHAT,103,4,52
blknoiz06,this admin is like a ship with 4 schizophrenic captains sailing in the middle of a thunderstorm where nobody can see where they're going and they need assistance from the people onshore but the communication devices aren't even working,540,38,76
blknoiz06,"all this flip flopping doesnt really inspire confidence for businesses in america to be making longer term investments in infrastructure, hiring, or other needs does it",111,25,18
blknoiz06,whats the best forex broker to long #CHFUSD in size,285,31,128
blknoiz06,Someone gotta send China & America to couples therapy,99,11,32
blknoiz06,"@blknoiz06
 sell *today and walk away",26,2,5
blknoiz06,"BREAKING: China suspends exports of certain rare earth minerals crucial for the car, semiconductor and aerospace industries.",19000,4300,394
blknoiz06,are they serious?,334,16,105
blknoiz06,"what’s more sustainable long term than tbills and bonds?

midatlantic laundromat revenues - new algorithmic yield generating GE backed stablecoin

who’s building this?",38,13,9
blknoiz06,I would love to go out with you shorty but unfortunately I am trapped in an unhealthy cycle of self betterment and discipline and you’d only be a distraction,280,91,8
blknoiz06,Would you/they want to trade this on hyperliquid?,286,10,31
blknoiz06,"i've gotten a few messages recently from whales interested in buying fartcoin OTC

i'm talking $1 million to $5 million+ in size

there's so much sidelined capital waiting to shove size into fartcoin at the slightest sign of the market turning full risk-on again

many are",1400,146,153
