username,content,likes,retweets,replies
cryptolyxe,"Follow Lyxe, you must.

Make money, you will.",4700,430,981
cryptolyxe,"honestly man i could of played better than Mbappe in that match 

bro was fucking invisible",30,1,18
cryptolyxe,"the official base account just LAUNCHED and rugged a memecoin
@base
 posted a link for a new memecoin on base chain

it pumped to 20m in 1 hour

and then went to ZERO in 5 minutes

what the fuck? 
@coinbase",139,21,52
cryptolyxe,man real madrid fucking suck my bet is cooked,47,0,40
cryptolyxe,"BEARS are so fucked

i’ve been telling you guys to long for the past 4 days

if you didn’t listen

you’re going to miss $FARTCOIN breaking $1

$POPCAT going up 100%

and Solana going back to $160.

hope you’re ready",148,6,37
cryptolyxe,"US just banned Nvidia from selling chips to China

yeah we're cooked lmao",147,7,32
cryptolyxe,"so Amazon web services went down and my memecoins are down because of that?

i thought crypto was supposed to be ""decentralized""",100,3,44
cryptolyxe,gm degens,226,6,202
cryptolyxe,"have taken a step back from trading on-chain recently because it’s a PVP-fest.

leverage trading isn’t easy, but it is do-able.

it’s a lot more peaceful making money like this without the noise of the trenches.",334,6,93
cryptolyxe,are you ACTUALLY locked in if you still have a girlfriend?,256,11,105
cryptolyxe,"hold your $popcat longs

trust the process",238,7,86
cryptolyxe,everytime Trump opens his mouth i lose stupid amounts of money,125,7,47
cryptolyxe,guess where the Americans woke up,383,18,121
cryptolyxe,"quickest 20k i ever made 

thanks for playing.

$OM",440,14,110
cryptolyxe,"yooo just taking a long flight with no wifi

hope nothing crazy happens to my $6B market cap coin while i take this flight

would be such a coincidence if it nuked 90% while i'm flying 

but it wouldn't be my fault cause i'm flying with no wifi",182,6,50
cryptolyxe,"$OM rug was definitely an inside job,

the founder tweeted this yesterday.

along with ""so hard to work while flying""

perfect alibi for your $6B market cap coin to nuked 92% in 30 mins...",200,10,62
cryptolyxe,"$OM rug is going to affect majors in the short term

$6B market cap going to 0 isn't something small tbh

would be careful on leverage right now.",424,19,96
cryptolyxe,I discovered leverage trading and cocaine. It all went downhill from there.,82,4,38
cryptolyxe,"if you aren’t going to be ripped and have abs

at least become a UNIT with a good frame

just eat a lot and focus on heavy lifting 

this build will solve 75% of your problems.",247,12,85
cryptolyxe,"100%+ profits on $PROMPT long in less than 1 day…

with NO leverage + decent size.

there are opportunities everyday in crypto.",68,3,20
