username,content,likes,retweets,replies
cz_binance,"@binance
 did $2.2T in trading volume in Q1 2025.

Not only that, its market share increased from 38% to 40.7% during Q1.

While others look to survive, Binance thrives.

Bullish",422,57,93
cz_binance,USD1 Stablecoin Nears 90% Circulation on BNB Chain - Altcoin Buzz,1400,295,447
cz_binance,"$BNB just burned 1,579,208 tokens in its 31st burn and that’s a big deal.

Less supply means stronger price structure over time. That’s how value gets reinforced. Over 40M $BNB still to be burned and the current supply sits at 139M $BNB

$BNB isn’t just building, It’s tightening.",325,43,68
cz_binance,"Loved my first trip to Pakistan and the opportunity to connect with such a passionate community 
Also proud to share that #Binance has signed two key MoUs to support the future of blockchain education in the country:

 
@UMTOfficial
 – Partnering with 
@BinanceAcademy
 to expand",368,62,83
cz_binance,Just saw an AI video that mimicked my voice to the point that even I couldn't tell the difference. Scary!,3400,378,34
cz_binance,This is a snippet of the 5-minute AI video.,623,87,15
cz_binance,"Quick BNB numbers :

Burning since October 2017.

Total burned to this day : 56,674,318 BNB

Rest to burn : 40,888,572.

I’ll say between 20 to 25 quarterly burns left looking at the pattern (maybe less).

Total value of all these BNB burns at today’s price of $577 each is",309,60,81
cz_binance,"$916,000,000 BNB burned.",7600,1000,1000
cz_binance,"今天交易平台战场，已经转移到链上

在Hyperliquid上币效应和TVL都逐渐回落，遭受各方围堵的境遇下，Perp DEX成被了被觊觎抢占的滩头，但却也为 
@Aster_DEX
  这样新锐势力提供突围契机，而其也恰巧符合币安系争夺链上流动性的战略布局

BNB Chain想要再度复兴，切入点在哪里",229,44,80
cz_binance,"More on 
@BNBCHAIN",1100,198,537
cz_binance,» Inside BNB Chain's MVB for Web3 Startups and Hong Kong Super Meetup,1200,195,480
cz_binance,"Top sectors on BNB Chain by user activity (7D):

 CEX – 2.1M users
 DEX – 348K users
 Other – 215K users
 Gaming – 139K users
 Infrastructure – 100K users

CEX still dominating, but infra and gaming aren’t sitting quietly.",348,73,77
cz_binance,"@binance
 distributed $2.64 billion in rewards and airdrops to its users in 2024.

There's no second best",963,204,232
cz_binance,"USD1 trading started on 
@BNBCHAIN
 in 

In 15 hours, it reached $37.2 million in volume.   

The #BNBChain era has begun!",579,158,170
cz_binance,"I don’t really care about how I am remembered

I don’t care about legacy

I don’t care about fame

I don’t care about power & money

when I’m old

I just want to be able to tell myself that 

I did my best to help make the world a better place.

~ life advice by",819,160,150
cz_binance,"I am happy to assist and advise any gov on crypto adoption and regulatory policies if they are genuinely embracing crypto. I offer my advice free of charge, with the only constraint being the time I have available.",8500,1100,1700
cz_binance,"WSJ is really TRYING here. They seem to have forgotten who went to prison and who didn't. 

People who become gov witnesses don't go to prison. They are protected.

I heard someone paid WSJ employees to smear me.",8500,947,1100
cz_binance,"English Version right here:
@lista_dao
  just did something great today — breaking the monopoly 
@VenusProtocol
 has held for years over $BNB lending. The people have suffered under Venus long enough.

Venus, knowing they had no real competitors, once intentionally tweaked their",277,64,100
