username,content,likes,retweets,replies
frankdegods,"i was honestly trying to be sarcastic and it really backfired

i saw in multiple chats over the last week that there was going to be an official argentina coin. that’s the extent of my insider knowledge.

i genuinely did not get insider on this launch nor did anyone i personally",1100,127,723
frankdegods,"recently FaZe Banks and his crypto group “LA Vape Cabal” were accused of being “insiders” to one of the biggest rug pulls called “$LIBRA” 

Dave Portnoy and team have confirmed Banks had no connection to the project",2600,76,226
frankdegods,"dear crypto twitter,",6600,741,2800
frankdegods,"retiring my main public wallet

i originally shared it because people were spreading FALSE rumors about me with NO proof

i shared my wallet publicly & invited anyone to find ANY proof of wrongdoings

since then, i've traded thousands of coins on this wallet. 

since it was",3100,287,1300
frankdegods,"A lot of people like to hate on 
@frankdegods
 , will do a one take on my POV as a Solana bot tool owner 
@hawkonchain
 

Just watched a 4H space with him inside, after 12H scanning and building. It was hilarious, and I absolutely agreed with many of his points. 

1) Many people farm",371,38,102
frankdegods,Holy shit there’s tools you can use to become an insider!,1900,165,520
frankdegods,People blame everyone but themselves,1900,225,785
frankdegods,i didn’t get the art gobblers WL last cycle,385,17,178
frankdegods,i wish there was a way to trench with more people but there’s a limit to how many people can be in a group chat,770,17,235
frankdegods,i love indirectly tweeting my bags,400,13,140
frankdegods,i do use my copy traders as EL whenever i get bored,906,64,254
frankdegods,it’s fun!,154,5,24
frankdegods,I hope the next wave of daily runners are 2 month old builder coins that teleport from like $5M to $150M in a day!,2000,117,681
frankdegods,"silver lining is people’s anxiety for being hard rugged is at cycle highs

appetite forming for places you can put money and it won’t go to zero immediately

which means liquidity might flow to established projects grinding through the last few months",1300,55,381
frankdegods,probably most cursed tweet of all time,1200,23,201
frankdegods,no countries in the casino,318,39,29
frankdegods,what did he know,356,6,57
frankdegods,fuck elon,193,4,40
frankdegods,"I was up +$300,000 at one point and basically round tripped everything.

And the only reason I got out unscathed is because of 
@frankdegods
 comms.  This fucking kids ability to do due diligence and notice things that are happening in real time, under EXTREME PRESSURE, often times",1300,90,259
frankdegods,"also it literally 5'xd from their retarded ass post LMFAO

g fuckin g buddies",341,4,44
frankdegods,"yes, i've been experimenting w/ axiom

i still mostly use photon but since axiom lets me import wallets been testing it

check it out lmk what you think",158,4,56
