username,content,likes,retweets,replies
gavofyork,"2024 
@Polkadot
 roundup dropped. Get it while it's hot",1200,407,185
gavofyork,"A few great new entries by `llb` keep them coming! 

https://app.entropretty.com/u/llb",19,1,0
gavofyork,Shiposted our way into getting funded. Don't let your dreams be dreams.,147,18,30
gavofyork,"I see a similar shift in this “industry”. Though there are some whose direction has remained largely unchanged for a decade. Lessons no doubt learnt along the way. But core principles unwavering: a desire not just to do great engineering for joyous products useful to many, but to",526,93,43
gavofyork,"New episode with 
@gavofyork
 out now! 
@JasonYanowitz
 @santiagoroel
 

We discuss:
- Has crypto failed?
- Crypto's product problem
- ETH & Polkadot successes & failures 
- The most important thing to work on
- Crypto vs AI, a multichain future & more!

Timestamps:",190,73,18
gavofyork,"to all Ethereum devs that want to abandon sinking ship

check out Polkadot Deploy rollups

look into Polkadot Virtual Machine (PVM), you'll be able to run Solidity and any other language there

and of course, transfer assets trustlessly with 
@_snowbridge",121,27,18
gavofyork,"A sneak peak at 
@PolkadotDeploy
’s UI

The PDP allows you to deploy a rollup in minutes, taking away the complexity and stress of deployment,

• Configure your general settings
• Select your runtime
• Select your chain
• Coretime options based on YOUR needs

Simple, right?",173,52,18
gavofyork,"are we improving people's lives and creating sustainable, long term businesses which provide valuable services and have revenue? then it's a success.",36,5,4
gavofyork,Appreciate it! I think more people are starting to notice how Polkadot quietly shipped the hard stuff while others were busy branding. The tech speaks for itself now.,69,7,3
gavofyork,"Want to speak or host a workshop at Web3 Summit 2025?
Apply now  http://web3summit.com",112,78,10
gavofyork,"That's a valid concern. Let me share my perspective.

Let's differentiate between selling to stables and selling to crypto. 

1) swapping for crypto - here it works like a hedge. If DOT rises in value against the other asset after the swap, DOT holders win. If DOT falls in value",44,6,10
gavofyork,"We also have the biggest energy chain
@XEnergyWeb
 
We also have the biggest supply chain
@origin_trail
 
We also have the biggest gaming chain
@playmythical
 
We also have the biggest social chain
@frequency_xyz
 

Polkadot, leader in true Web3 solutions",118,27,6
gavofyork,"Polkadot gud.
Polkadot fast.
Polkadot scales.
Polkadot cheap.

We luv the Polkadot.",102,13,3
gavofyork,"We've partnered with 
@v_labs
 to expand 
@Polkadot
 custody solutions for institutional clients. 

Through the partnership, Copper offers custody support for Polkadot Asset Hub assets including DOT, USDT, USDC and more. 

Read more: https://bit.ly/4i5KApX",237,69,17
gavofyork,"There exist only four major crypto assets that can “claim” to be decentralized and credibly neutral. 

BTC and ETH and Solana and Polkadot

But only one of th…let me stop this conversation here 

Most decentralized = Polkadot 
Fastest = Polkadot 
Best gov = Polkadot",200,54,26
gavofyork,"Announcement!

The 
@polkadot
 UX Bounty is launching the UX Audit Grants Program to continue elevating UX across the ecosystem.

Polkadot dApps can now apply for a funded UX audit to identify friction points and improve usability.

[Link to apply in comments]

Read on for",91,29,8
gavofyork,"Cardano recorded DOOM stats on chain

Polkadot ran the entire MFing game on chain

The implications of the difference here is astronomical

No matter what cheeky memes 
@IOHK_Charles
 puts out or lies Cardano bois regurgitate

Study",403,72,137
gavofyork,"The JAM Toaster is a supercomputer testing the JAM by Gavin Wood before it runs by 1023 validators globally.

First phase of testing with 86 machines:

Loading ███████▒▒▒ 70%

Polkadot 2.0 & then JAM are going to set a years ahead standard for Web3!",449,98,53
gavofyork,Want to make an algo tattoo design? Check out http://entropretty.com  it's crypto adjacent,19,2,4
gavofyork,"When you consider that you could run a fleet of 100,000 Twitter accounts with blue checks for less than $10 million a year, a foreign power that wanted to influence US politics would be pretty slack if they didn't try to create one.",10000,952,506
gavofyork,Chop chop!:),327,32,22
gavofyork,"This is the current UX Bounty Backlog, where we list all issues and ideas to improve Polkadot’s UX.

 Want to participate, lead, or advise on a project?
 Have a project you’d like to see happen?

 Drop a comment in the doc, reply to this post, or hmu on Telegram!",82,17,7
gavofyork,"52 years ago today, Pink Floyd released ‘The Dark Side of the Moon.’",5200,931,132
gavofyork,"I saw them talk about it as a potential when they announced JAM but they’ve got it running faster than I expected. 

“Doom runs on a toaster” is a bit of a cliche

But I think this is the first time it’s run on a non classical underlying cpu architecture. 

JAM = general compute",66,14,4
gavofyork,"DOOM Just Ran on JAM!

Today, 
@gavofyork
 demoed DOOM running on JAM at Fudan University in Shanghai.

JAM shows blockchains can go beyond transactions, enabling decentralized computing with continuous execution flow.

It’s a breakthrough moment for Web3 computing.",603,239,42
gavofyork,"Not your keys, not your coins. Get on-chain, stay on-chain.",505,76,43
gavofyork,"like literally dude, wtf??? tell me you’re talking Polkadot without telling me about Polkadot ? 

„a hub and coordination layer for a huge number of application specific blockchains” - You mean parachains right? 

„anchor into it to benefit from its massive economic security” -",134,26,14
gavofyork,"Let's Talk About... The FUTURE of Web3 by 
@shawntabrizi
 from 
@Polkadot
.

Shawn debunks crypto jargon and unveils Polkadot’s vision: evolving Ethereum’s legacy into a decentralized multi-core computer with native smart contracts.

Full video below",259,47,10
gavofyork,"It’s not an issue with rich transaction semantics. 
@Polkadot
 transactions are substantially more powerful than Ethereum’s yet we still have secure and definitive human-readable descriptions *on the cold device*. See Polkadot Vault and signed metadata.",714,148,45
gavofyork,"In November 2017, an anon github user, “devops199,” accidentally triggered a bug in Parity’s multisig wallet.

513,774 ETH froze on the spot, affecting over 587 wallets. About $150M at the time. $90M of that was from Polkadot’s ICO.

It was the second largest ETH loss in",184,56,23
gavofyork,The U.K. has chosen to make its own citizens less safe and less free.,258,105,10
gavofyork,"I don’t know if “hard times” created 
@Polkadot
 but when hard times come they’re certainly going to need it.",682,127,54
gavofyork,"If you watch one thing today, make it this interview from last night in which the former head of M16 explains that Trump is a moron, that Europe must get hugely armed and fast because Russians are coming.",26000,8000,1100
gavofyork,"Trump: ""I did ask Elon because he knows more about computers than anybody I know. I said, what do you think of the voting system? He said, computers are not meant for voting. It's too many transactions taking place too quickly.""",37000,4300,2700
gavofyork,"Apple just told the UK government to get lost.

Faced with a demand to build a surveillance backdoor into iCloud, Apple chose to remove its strongest encryption feature (Advanced Data Protection) from the UK — rather than compromise security for everyone.

This is about",339,97,24
gavofyork,One of the best posts I ever read on the question of layer-1 governance.,448,88,30
gavofyork,"for(float e,i,a,w,x,g,h;i++<90.;o+=.01-.02/exp(max(s,e)*3e3)/h){vec3 p=vec3((FC.xy-.5*r)/r.y*g+2.,g);p.zy*=rotate2D(.5);e=p.y;h=e+p.x*.3;p.z+=t;for(a=.6;a>.001;a*=.7)p.xz*=rotate2D(5.),x=(p.x+p.z)/a+t+t,e-=w=exp(sin(x)-3.)*a,h+=abs(dot(sin(p.xz/a*.3)*a,r/r));g+=e=min(e,h*.5-1.);}",17000,2500,178
gavofyork,Think Bigger.,767,75,19
gavofyork,Web3: Security for Free Societies.,871,180,71
gavofyork,Project numbers extrapolated from empirical analysis of our PVM implementation. Once the Toaster is online we’ll be looking to get some certainty over exactly how many orders of magnitude beyond Eth1 that JAM is.,564,146,35
gavofyork,"When we launched Hydration we did so with “pay fees in any asset” - we would whitelist assets when registering them to our asset registry, and this worked well until we launched permissionless asset registry

Then we were faced with the conundrum of how do we allow users to",91,16,10
gavofyork,"So happy we could help 
@pala_labs
 organize the JAM Tour in Taipei and work together to make the event a success and spread the word about JAM!",59,6,1
gavofyork,"We're excited to announce the launch of Entropretty! 
A new tool to create algorithm based tattoo art for the upcoming Web3Citizenship app, pioneered by 
@gavofyork
 

We're kicking off a competition via 
@assemblyparty
 with a $3k prize pool in $DOT, open to all, starting tomorrow!",54,23,9
gavofyork,"@gavofyork
 is bringing the JAM Tour to China! 

This educational open tour will showcase JAM — a major breakthrough in distributed computing.

 Want to glimpse the future of Web3?
 Curious about building real-world use cases on JAM (beyond just DeFi)?
 This is your",75,12,0
gavofyork,"Most of the community wanted less inflation so we voted on it

Once the ayes went through - It was automatically enacted on chain

When the community speaks, the protocol listens

No middlemen, no centralized body",177,29,13
gavofyork,JAM course is coming : https://polkadot.academy/jam/,378,72,17
gavofyork,"""The main benefit of JAM is to avoid fixed persistent state partitioning"" - 
@gavofyork",327,51,13
gavofyork,"Fresh off the oven! 

The first video of our JAM series - What is JAM?

Next up: the evolution of 
@Polkadot
 JAM protocol!",160,50,13
gavofyork,"The new dApp browser in Nova Wallet is here — but what exactly changed? 

We’ve detailed all the upgrades in our latest article. 

 Check it out now:",115,20,9
gavofyork,"Login to Matrix/Element using your Polkadot Wallet! 

This uses a custom Oauth2 provider to log you in. We can leverage this to piggy back into ANY tool that has an Oauth2 integration and add Log-in using Polkadot for free (token gating, anyone?).  

DOTAuth2 :)",139,28,16
gavofyork,"See Journalist James Seyffart’s July tweet, “sounds like a common enterprise. these 5 words may be triggering,” I was not triggered. As someone in the 
@Polkadot
 community since 2019, we are as resilient as the tech. I was just excited to have a real discussion!He was on to the",163,44,8
gavofyork,"Are there any pan-industry reviews of node-impl diversity? Client diversity was well identified by 
@VitalikButerin
 in 2013 as being crucial to building an actually decentralised & resilient network and one I'm hoping to supercharge with 
@polkadot
 #JAM and its 35 impl teams. Would",889,181,61
