username,content,likes,retweets,replies
gianinaskarlett,pov: you’re in crypto,1200,210,262
gianinaskarlett,if you’re a bear pivot to being a bull,87,5,48
gianinaskarlett,imagine you meet the love of your life and they’re an eth maxi,97,3,73
gianinaskarlett,taxes are the biggest scam of all time,162,8,62
gianinaskarlett,"gm

best caption wins 1 sol",950,39,827
gianinaskarlett,The B on Base is for Broke,78,2,41
gianinaskarlett,BASE IS FOR EVERYONE,88,10,52
gianinaskarlett,"gm

pov: you go on a “date” with a crypto bro",592,174,189
gianinaskarlett,sonala summer,72,5,30
gianinaskarlett,"everyone wants someone to make them money

the first mistake there is relying on someone else to make you money",134,8,30
gianinaskarlett,rate my trading setup,197,8,44
gianinaskarlett,CRYPTO & CHILL,140,30,49
gianinaskarlett,something something in 30 minutes,111,7,61
gianinaskarlett,women in crypto >,938,41,218
gianinaskarlett,"gm

went to asia 
locked in 
traded in silence 
ran a wallet from 1 to 100 sol
gained some weight

one more day before locking in",720,14,275
gianinaskarlett,what’s the next 100x?,117,7,137
gianinaskarlett,"“gigi stop talking about memecoins, they’re gambling”

utility projects:",155,14,66
gianinaskarlett,"ok, apparently this is unpopular:

you can be early 
you can be right

…and still lose money

because you held too long

or sold too early

or blinked during the pump

this market doesn’t reward knowledge

it rewards timing and patience",137,13,37
gianinaskarlett,the trenches are alive,205,9,100
gianinaskarlett,"solana to $1,000 soon",218,11,96
gianinaskarlett,should i swap all my eth for sol?,62,4,78
gianinaskarlett,gm to everyone who still believes in crypto,1100,38,464
gianinaskarlett,what are we buying?,148,7,158
gianinaskarlett,"set a goal 
push for it keep going
didn’t hit it?

set a bigger one",93,7,45
gianinaskarlett,this cycle we all become filthy rich,166,13,67
gianinaskarlett,should we do a 1 sol to 100 sol challenge together?,209,11,121
gianinaskarlett,what’s the nicest thing you’ve been able to do/buy because of crypto?,199,47,168
gianinaskarlett,stop caring about what people have to say and watch your life change,150,12,67
gianinaskarlett,"THE BASEDD HOUSE.

Summer 2025.",493,67,139
gianinaskarlett,"looking to 10x my portfolio by the end of 2025.

what’s your advice?",122,6,103
gianinaskarlett,pov: your friends are the exit liquidity,511,157,127
gianinaskarlett,would you believe me if i give you this card?,149,5,85
gianinaskarlett,how did it feel when you realized you bag held the trump pump and didn’t sell any sol when it hit $293 and now you have to sell some to cover your bills at $103,150,8,73
gianinaskarlett,are you actually committed to crypto or are you waiting for an exit pump to leave?,185,15,138
gianinaskarlett,"no one in crypto has all 3: 

- a long term relationship 
- mentally stable 
- social life",334,26,176
gianinaskarlett,"gm

manifesting wealth, abundance and health to everyone who interacts with this post",808,25,320
gianinaskarlett,how would you invest 5k usd in crypto rn?,361,22,405
gianinaskarlett,memecoin supercycle >,156,6,73
gianinaskarlett,"pov: you’re in crypto on april 7, 2025",433,129,101
gianinaskarlett,"I gave you sol at $95 in 2025

Thank me later",179,5,58
gianinaskarlett,"massive respect to anyone building their dream life

it's tough

no matter the market

but you know what else is tough?

not living your dream live

knowing you didn't give your 100%

choose your ""tough""",158,7,46
gianinaskarlett,White tariffs.,349,50,101
gianinaskarlett,"gm

only future millionaires can like this post",1500,24,475
gianinaskarlett,"solana will pump

ethereum will pump

memecoins will pump",247,14,148
gianinaskarlett,what we buying?,159,5,205
gianinaskarlett,i’m not ignoring you i’m just staring at a chart that hasn’t moved in 14 hours,166,9,57
gianinaskarlett,who knew fartcoin would be the future of finance,142,8,69
gianinaskarlett,"pumpfun streams back

memecoins back

crypto back",166,8,71
gianinaskarlett,hi from asia,529,11,152
gianinaskarlett,"buy the dip 

change your life",167,12,82
gianinaskarlett,The morning routine (asia),291,24,73
gianinaskarlett,"gm 

manifesting a 100x",618,13,338
gianinaskarlett,"leaving for asia today 

wish me luck",589,9,214
gianinaskarlett,no april fools joke bc my wallet balance is the biggest joke of the day,149,4,59
gianinaskarlett,we’re gonna make so much money we’re gonna get tired of making money,182,12,68
gianinaskarlett,something coming today,154,6,77
gianinaskarlett,"HAHA you launching a memecoin today?

HAHA you sold your pfp?

HAHA you lost $1M USD?

HAHA your project is going out of business?

HAHA you got hacked?

HAHA LOL APRIL FOOLS DAY ROFL YOU ARE SO ORIGINAL IT'S SO FUNNY HAHAHA",98,5,38
gianinaskarlett,@waleswoosh,5,0,1
gianinaskarlett,"Respectfully, you’re not locked in. I see you constantly talking about random stuff all day long and doing no research on any coin ever, this should be a wake up call to take this seriously if you want to change your life",218,11,88
gianinaskarlett,Buying the dip.,1100,161,241
gianinaskarlett,sunday tingzz,553,16,134
gianinaskarlett,I wanna see all my friends win,184,17,88
gianinaskarlett,don’t quit now,161,8,93
gianinaskarlett,"gm

excited to be playing at one of the hottest parties during token2049 in dubai soon

happy sunday",292,7,147
gianinaskarlett,is x down for you too?,125,2,87
gianinaskarlett,just do you and forget about everyone else,147,11,57
gianinaskarlett,"gm

planning some sh*t, things coming",979,22,406
gianinaskarlett,"> wakes up
> check prices",132,8,43
gianinaskarlett,"i'm locking in 
i'm locking i 
i'm locking 
i'm lockin 
i'm locki 
i'm lock 
i'm loc 
i'm lo 
i'mI
i'm 
i'm c 
i'm cr 
i'm cra 
i'm cras 
i'm crash 
i'm crashi 
i'm crashin 
i'm crashing 
i'm crashing o 
i'm crashing ou 
i'm crashing out",206,16,53
gianinaskarlett,"If you’re down bad now, good.

That’s part of the process.

Nobody skips this phase.

Traders burn out when they think every loss means they’re bad at this.

Losses don’t define you.

Quitting does.

If you’re losing, you’re in the middle of the same path every good trader walks.",181,21,49
gianinaskarlett,"starting a fresh wallet with 3 sol and a dream

let's see what I run it to in 30 days",176,2,70
gianinaskarlett,"one of my smart friends once told me that you should always know where your next dollar made is going to go ahead of time

as you should have a general thesis for where youre deploying capital at all times

savings/stocks/crypto/investments/expenses

never be all cash or all risk",974,57,99
gianinaskarlett,this ghibli joint is so fire,705,68,117
gianinaskarlett,"hat stays on 
@blknoiz06",307,23,53
gianinaskarlett,gm,1000,37,448
gianinaskarlett,"People mad that $GHIBLI hasn’t “run” yet… it’s been 24 hours.

It hit $28M MC on launch day.

A few weeks ago, most memes couldn’t break $10M.

Market’s still down.
SOL’s under $140.
A few memes are trying to break out.

This is bullish.

The problem isn’t the memes — it’s the",218,21,52
gianinaskarlett,"(I own zero $GHIBLI, btw.)",21,0,5
gianinaskarlett,We will win,150,3,83
gianinaskarlett,need this market to pump one more time,164,7,73
gianinaskarlett,state of the trenches,104,10,32
gianinaskarlett,who knew fartcoin would actually be the future of finance,124,4,40
gianinaskarlett,what are the most exciting things happening in crypto rn?,121,4,108
gianinaskarlett,"sorry I can't go out right now, I'm currently going through a quarter life crisis because crypto is down and I know identify as a ghibli

hope you understand",97,2,30
gianinaskarlett,"Making money is easy.

Keeping it is the hard part.

Most traders lose because their wins came too easy.

Fast gains make you think you can’t lose.

Then the market humbles you.

If you want to stay up, you need discipline.",139,10,55
gianinaskarlett,"who still has notis on?

might have some fun with it soon",144,2,60
gianinaskarlett,"ok ok

*plotting*",32,1,7
gianinaskarlett,"everything but make it ghibli style 

drop a photo in the comments and i’ll
pick some to make ghibli style",644,17,166
gianinaskarlett,"It’s time to level up.

Time to break the cycle.

I will show up as the best version of myself.

I will build generational wealth.

I will make everyone around me proud.

I’m going all in and not looking back.",192,16,82
gianinaskarlett,"THE WHALE FILES: 001 [ MADRID ]

Nihilistic yet brutally honest, trader 001 turned hundreds into millions with memecoins.

Was it skill, luck, or just a rigged game he played better?
 
Produced by 
@Jake_Hanrahan
 
Powered by 
@BONKbot_io",89,25,12
gianinaskarlett,locked tf in,854,44,194
gianinaskarlett,"solana at $140 last week: it’s so over 

solana at $140 this week: we’re so back",193,10,56
gianinaskarlett,we’re going so much higher,205,10,99
gianinaskarlett,this is all you need,318,23,82
gianinaskarlett,Locked in.,302000,13000,1700
gianinaskarlett,"Every forced trade costs you more than money.

It costs your mental edge.

Trading less isn’t weakness.

It’s a superpower in this market.

Protect it.",126,11,46
gianinaskarlett,it's time,145,3,71
gianinaskarlett,CRYPTO & CHILL https://x.com/i/broadcasts/1gqxvjWBavexB…,131,14,35
gianinaskarlett,"sunday vibe 

(we’re so back)",382,10,115
gianinaskarlett,"top: 
@9dccxyz",5,0,0
gianinaskarlett,"Sometimes, the smartest thing you can do…
Is nothing.

Patience pays more than skill right now.

You don’t lose because the market tricks you.

You lose because you couldn’t sit still. 

You don’t need to be in every trade.

There are days I just watch.

No trades. No fomo.",147,12,54
gianinaskarlett,it’s 9:09 am,221,10,62
gianinaskarlett,ALL TIME HIGHS IN APRIL,249,18,114
gianinaskarlett,"I forced trades because I was scared of missing out.

I told myself that’s the best strategy.

But the market doesn’t care what you tell yourself.

Trade less.

Wait longer.

Size when it matters.

That’s the whole thing.",174,11,51
gianinaskarlett,what are the best tools/apps/websites for vibe coding?,67,2,34
gianinaskarlett,"The market didn’t kill your trade. Your ego did.

You lose because you never fix what’s happening in your head.

Fear, greed, ego - they eat profits before the trade even starts.

Fear makes you sell early.

Greed makes you go too heavy.

Ego makes you stay in garbage trades way",176,21,47
gianinaskarlett,"two feelings normies will never understand 

being down 97%

being up 1000%

this is what makes us retarded but invincible",301,20,68
gianinaskarlett,"when i started in crypto I had $400

now, after 4 years I have $69

help",284,9,123
gianinaskarlett,"you can create wealth in any market

lock-in and stop being distracted by ct drama",154,9,69
gianinaskarlett,"You don’t lose in crypto because you’re wrong.

You lose because you’re impatient.

You give up before the real move happens.

Hold while everyone else gives up.

Survive the boredom phase.

That’s where the money’s made.",166,14,53
gianinaskarlett,"gm

market down, vibes up",917,21,389
gianinaskarlett,we’ve been trading the wrong thing,129,13,51
gianinaskarlett,"you could give up, i’m sure they’ll love that",156,16,72
gianinaskarlett,"bullrun is still on

brief pause 

then it resumes",159,9,70
gianinaskarlett,Touch grass.,843,99,191
gianinaskarlett,still bullish,179,11,101
gianinaskarlett,"Gm

Earn daily in crypto without trading

Let me show you how stable high-yield farming works using 
@SuiNetwork
 and 
@CetusProtocol
.

 Timestamps - - 
0:00 LPs explained
0:30 How you make money",402,144,150
gianinaskarlett,"learning to sit and do nothing is as important as knowing when to double down 

the worst trade is the one that takes you out of the game",150,16,47
gianinaskarlett,the future is onchain,129,12,53
gianinaskarlett,idk vibe coding sounds pretty fun,92,6,27
gianinaskarlett,CRYPTO & CHILL https://x.com/i/broadcasts/1OyJALRXZlwGb…,177,19,52
gianinaskarlett,sometimes you just gotta say fuck the haters and prove them wrong,200,14,73
gianinaskarlett,in reality this person is probably trying to influence the market by doing this with this amount of size,72,4,27
gianinaskarlett,manifesting riches to everyone who interacts with this post,505,19,115
gianinaskarlett,those who hold will win,185,11,89
gianinaskarlett,"“left a moonbag”
 
the moonbag: .0001 sol",136,6,70
gianinaskarlett,on the one second chart type shit,97,4,49
