username,content,likes,retweets,replies
intern,2024 Crypto Year in Review,9100,2900,730
intern,"USDC on Monad mainnet day 1.
@Circle
 will also bring CCTP V2 and Circle Wallets to support the developer ecosystem.",8900,3300,2900
intern,life was much simpler when we were all just betting on hamster racing,501,26,116
intern,"touched grass & hat swap this weekend to celebrate a good friend’s engagement, gm",280,1,79
intern,i like how we all thought crypto was gonna grow up but the rest of finance just came down to meet us,915,92,55
intern,"BTC is almost down to its Nov 2021 high

ETH is almost down to its Jan 2018 high",247,15,29
intern,“digital gold”,333,20,24
intern,growing up is realizing this guy is Chamath Palihapitiya,9600,492,136
intern,Sorry took me a little while to get this out,2000,469,108
intern,this is crazy,329,16,58
intern,"seems like everyone has advice recently so posing it on here

if you were Monad what would you do?

all answers welcomed, general or detailed, shitposts and serious alike",342,22,159
intern,your biggest risk is being underallocated to the industry you log into every single damn day to talk about since you know its gonna go up again eventually but not having enough coins because youre a lil bitch,487,33,77
intern,"nic please read the science

he explicitly said that Cialis was not the cause of the erections

the boner pills have no impact on his erections

he referenced the science, please trust it",926,2,24
intern,"crypto, 2025",308,13,34
intern,Binance and OKX listing jellyjelly,395,20,31
intern,you don’t have the cards.,501,22,84
intern,crypto AI supercycle confirmed,605,29,58
intern,brother please just take a peek,2600,163,78
intern,officially tired of winning,2600,181,69
intern,"this cycle is bizarre

the US Government is shilling Bitcoin and we’re basically at last cycles prices

ETH and SOL more than 50% lower than their 2021 highs

we deserve better than this",2200,116,227
intern,"as is tradition, intern notes on the White House Crypto Summit covering

- Strategic Bitcoin Reserve
- Stablecoin Growth
- Beating China

25 minute stream distilled into 4 screenshots",927,156,91
intern,"""wow i've never seen a Bitcoin in person before, really impressive stuff very nice""",3600,236,96
intern,"all tokens sent

have a great weekend",283,7,92
intern,“you said nation states were buying,2600,185,96
intern,Hot beans and behind the scenes with the Monad team,186,24,35
intern,"reply to this tweet with a monad address and i'll send you some tokens

must be following, will collect all addresses in 12 to 24 hours",3200,1100,4000
intern,comfy in spot,1400,112,63
intern,"Monad Testnet is live.

Try it out here: http://testnet.monad.xyz",38000,17000,8600
intern,Just say no.,2700,294,154
intern,"2+ years in the making

a quick message for Monad’s Testnet launch tomorrow",718,86,141
intern,"might go as far as saying i guarantee the next 10x in total crypto mcap comes from Bitcoin + stablecoins

those are the chosen ones

you want to be exposed to their proliferation and success",276,24,61
intern,"politicians and celebrities are straight up running a train on us

i love this industry but hate seeing it used this way",353,11,64
intern,who created this,332,24,42
intern,gm,263,8,40
intern,"new followers won’t get this

but on a night like tonight i can’t help but think about Sam Trabucco

he’d be eating $2B worth of liqs rn

unpopular take but i’d feel safer knowing he was on the other side of these tbh",561,15,46
intern,2025,2900,255,89
intern,gn,1000,58,27
intern,"ETH is dying right in front of us

honestly never thought this would happen",2600,126,377
intern,February is gonna be the Olympics for new chain launches,305,12,54
intern,this time is different,16000,2100,769
intern,memecoin supercycle,2000,139,128
intern,"Dear noobs,         

Ethereum is NOT naturally going down. It is being pushed down via whales placing spoofy sell orders on exchanges to make noobs and risk managers sell to ""buy back lower"". They are stealing your bags and will make you buy back at a higher price.",734,42,43
intern,"It happens regularly.  Then it surges.  

What we are seeing is whales taking advantage of economic turmoil and negative sentiment to shake out weak hands, run stops, and then buy back when they can run that same playbook in reverse.",1500,217,195
intern,"the it's so over // we're so back is accelerating at break neck pace

such extreme emotional whiplash will be studied for generations to come

the mental illness is intensifying",229,16,30
intern,"Eric i know you're a new member of CT but you have to put ""NFA"" at the end of a tweet like this

otherwise the government might come after you",695,10,54
intern,"somewhere out there, likely in the wilderness, Ryan Selkis is 3 IPAs deep shadowboxing Gensler into submission",401,14,28
intern,"Trump has tied the price of Bitcoin to his ego

he's giving executive orders on crypto on day 1 + he's hosting a crypto ball honoring him as ""the first crypto president"" on inauguration day

i would not recommend betting against the power of Trump's ego

definitively higher",2000,213,95
intern,i'm mentally flipping back and forth 70 times per second on whether this is like Elon going on SNL for Dogecoin or if this leads to 4 years of trillions of dollars of flows into our assets,686,41,58
intern,class of 2024 experiencing their first dip ever,1400,75,61
intern,"i've never done this before but i have 3 hours to kill at the airport

AMA and i'll try to reply to everything unless there's a good reason not to (get me fired, hardcore inversebrah'd, some versions of publicly humiliated, etc)",339,6,145
intern,"“it’s hard to filter for good crypto marketing people”

no, it’s not

tell an applicant to turn on inversebrah notifications and replyguy him for a week — judge the reply game at the end

requires crypto nativity, quick wit, knowing lore, skill, etc

that is the entire interview.",354,17,44
intern,"dude you cannot just tweet this lol

this is like if Putin hopped on twitter and said he’s dropping a six-word story:

“might press the button; maybe not”",3700,108,90
intern,"when i first joined CMS Holdings as an intern in college i made a comment along the lines of ""shouldn't that already be priced in in an efficient market?""

response: ""intern who do you think makes the market efficient?""

learned more in that 1 response than in 4 years of college",780,53,37
intern,i need a whitelist for every single monad NFT collection,392,41,84
intern,no tweets till testnet,456,53,102
intern,"one of the best years in crypto history has come to an end

recapping 2024 through 24 of my best/worst memes and calls:",975,77,27
intern,video recap of the entire year,47,1,5
intern,"if you've made it this far, congratulations you likely have 'tism

my new years resolution is to double down on shitposting in 2025 -- don't follow this account if you are a very serious person

good luck and enjoy the golden bull run",80,2,10
intern,2022 (RIP -- best one imo but got taken down),41,2,3
intern,"2021, the original",24,0,1
intern,"As 2024 comes to a close, let's recap the year with 20 of my shitposts.

Enjoy the brain damage:",594,62,62
intern,hit my 2024 resolution just barely in time,1000,84,349
intern,"i got 
@internbrah
 an NFT (a nice one) for Christmas

3 minutes later he asked if he could sell it?

should that be allowed ???",326,7,78
intern,"Community is everything. 

In crypto, community is the X-factor. There are a few components of a community that I think are crucial towards putting any project in a position to succeed.

These aspects are: Culture, Interconnectedness and Loyalty.

On Culture:

While finance and",3200,1500,844
intern,hyperliquid,368,11,12
intern,"Gainzy: “Sorry I can’t hang, laying low tonight”

The laying low:",639,28,22
intern,Yearly bull market reminder for jr guys to be asking for more money or more carry from your “fund” founders you’re most valuable now and have leverage,60,4,8
intern,at first it was a joke but i’m slowly starting to think Gainzy actually is the killer,569,20,24
intern,honestly cannot believe Gainzy is a top 5 suspect in the assassination,521,15,20
intern,the whitepaper vs the product,7800,775,320
intern,"Ansem won that fight

BitBoy rugged us one final time",187,5,14
intern,"""Bitcoin sellers have a lot left in the tank""

the sellers:",650,43,19
intern,"i will trade my crypto punk for a house one day

scarce zoomer asset for scarce boomer asset

it is the prophecy",181,4,20
intern,"if XRP goes to $589

Chris Larsen (Ripple co-founder) will have just over $3,000,000,000,000 (3 trillion dollars)

that's about equal to the market value of Apple, Nvidia and Microsoft

and 10x Elon Musk",284,9,57
intern,"ok being on private sucks. I need PRICE TO GO UP. like VERY SOON. every day I am checking price and it is 5 figures. every day, check price, under $100k. I cant take this anymore. it is what it is. but I need the price to GO UP ALREADY. can Saylor DO SOMETHING??",173,0,28
intern,"[ ZOOMER ]

US COURT RULES SANCTIONS AGAINST TORNADO CASH SMART CONTRACTS UNLAWFUL",200,0,12
intern,honestly hilarious that ETH is green,136,0,24
intern,brace yourselves,260,8,16
intern,"just a heads up this account will be going private indefinitely at 96,969

i've waited almost 4 years for this",175,1,34
intern,Vitalik this year,324,13,23
intern,there is no second best,708,51,19
intern,"if countries actually start buying Bitcoin as a reserve asset

i think that hits my definition

this would be the supercycle",307,9,48
intern,do you wanna make money or do you wanna be right?,959,81,52
intern,"it took exactly 2 weeks.

my friend went from interested in Bitcoin, to memecoins, to retired.",3200,136,126
intern,this is hands down the most important chart in crypto for the next few months imo,663,57,33
intern,all according to plan,786,56,22
intern,"imagine working at a bank and you’re at dinner with 3 friends that all work at banks and one guys like “oh yeah we bought some Bitcoin on election day — we have about $1B worth now”

and the next guys like “oh no way we also bought some on Nov 5. Average price in is like $60k so",571,47,26
intern,"investment bank, fund, firm, etc it’s just a story guys relax",82,0,2
intern,"i don’t know what 1 Bitcoin should be worth with Trump as president

but i do know one thing

it’s certainly more than $100k",326,17,27
intern,"Gmonad!
@intern
 @pipeline_xyz
 @monad_xyz
 @monad_eco",708,346,249
intern,"not the first person to learn this

won’t be the last",3600,434,68
intern,RIP,1000,65,27
intern,2k away from ATH,7200,628,125
intern,we’re gonna win so much you’re gonna get tired of winning,304,30,21
intern,it’s coming,490,36,32
intern,we're 5% away from a rip your face off rally,281,16,28
intern,does anyone in our CT sphere have a connection to Zero Bond?,59,1,10
intern,best trader i know just sent me this,749,62,98
intern,already afraid of the photoshops,480,18,77
intern,we are about to wreck havoc in the city of brotherly love ‍‍,163,15,137
intern,"in the car with 
@blknoiz06
 on the way to the hotel for the Eagles game tm

what should i ask him",175,12,93
intern,there are not many things in life better than a weekend pump,264,14,44
intern,"for this next phase

you are probably going to want to be long everything",516,49,50
intern,"internet gambling is a real addiction (we know this best lol)

same way nicotine, sports betting, drugs, alcohol, casinos etc are real addictions

memecoins + apps like pump fun, moonshot, Phantom are the “juul moment” making it easy and cool to onboard

dangerous but powerful",175,19,29
intern,CT 2025,270,25,22
intern,"2056 is gonna be a big year
@RemindMe_OfThis
 in 32 years",156,9,9
intern,"Jerome Powell didn’t have to hold that press conference

He could’ve just invited Iggy Azalea to twerk on stage and we’d have gotten the same message",228,34,32
intern,Gmonad,669,36,176
intern,"traveling in Asia:
“wow this is so cool”

traveling in Europe:
“dude… this is your country? LMAO”",705,53,81
intern,this has been happening for like 4 days now what type of scam is this am i going to get abducted,261,158,67
intern,"on “top signal” tweets:

positive sentiment _does not_ mean things will get worse. it just means things are currently good. things can get better forever",232,34,32
intern,dude no one told me Hong Kong is like this beautiful tropical island/mountain region what tf did they teach me in American middle school,622,34,133
intern,"#FF

Monad cult leader 
@billmondays
 “oh how did the community get like that?” it was bill monday on the cutting edge of internet communities and extremely based highly recommend following",178,15,17
intern,"Intern notes from the 
@BanklessHQ
 podcast “Monad vs MegaETH” on:

- Ethereum alignment 
- What is a full node? 
- Which is more decentralized? 

And much, much more
@keoneHD
 <> 
@yangl1996
 <> 
@TrustlessState
 <> 
@RyanSAdams",778,213,91
intern,2/2,45,2,2
