username,content,likes,retweets,replies
lukebelmar,Get rich or die trying. Fuck being broke.,3300,508,265
lukebelmar,If they print money why do we pay taxes?,3600,391,498
lukebelmar,"Value growth over getting rich. 

Making money is a skill that must be learned 

You can't skip the process! Patience!",2200,213,123
lukebelmar,Money loves speed. Think less. Do More.,7500,916,276
lukebelmar,If you're broke and smoke weed you're dumb AF,8900,791,539
lukebelmar,"2 massive back to back wins in the Gem Hunters FREE telegram both shorting & longing 

My goal is just to bring great crypto traders together and so far it's working great!

FREE ACCESS (for now) LINK IN BIO",496,26,41
lukebelmar,"Make money online

Invest in Bitcoin 

Build a Businesses 

Travel the world

Marry a good girl

Create great memories",9000,947,477
lukebelmar,Shill me your memecoin,1300,80,921
lukebelmar,Memecoin Billionaire sounds nice,2000,139,255
lukebelmar,The whole world is in debt... but to who?,7400,678,1600
lukebelmar,Fasting is the key to longevity,8800,938,301
lukebelmar,"Coinbase can't lose the L1 war which means they will eventually have to cave and push the most popular assets up to drive attention and liquidity.

If youre bullish on BASE you can't fade BRETT",1400,205,258
lukebelmar,Binance only lists quality projects,4200,318,464
lukebelmar,"Scared money makes no money

Back to the trenches!",3800,323,228
lukebelmar,"Once this China vs USA nonsense is over the markets will fkn run like never before. 

Thank Trump for the dirt cheap prices",2900,192,160
lukebelmar,connect connect connect,2600,168,289
lukebelmar,"72 hour fast complete. Game changer!

If you don't fast a few times per year you are missing out on massive health benefits!",3500,143,295
lukebelmar,I'm not selling. Fuck you.,3900,317,406
lukebelmar,"S&P 500 at 5300 = resistance

Nasdaq 100 at 18500 = resistance

If these levels reject = short.

If levels reclaim after dip = squeeze higher.",1000,38,83
lukebelmar,Where will the market be in 30 days??,245,22,72
lukebelmar,"man cannot remake himself without suffering, for he is both the marble and the sculptor",1600,125,69
lukebelmar,Trump is the ultimate KOL,1300,64,105
lukebelmar,Networth up 25% in 1 hour. This shit is weird,3600,115,138
lukebelmar,$TON,462,44,71
lukebelmar,Imagine selling yesterday because youre a bitch,6300,632,267
lukebelmar,Back to the trenches,1800,135,85
lukebelmar,President of the USA launching a memecoin was the obvious top. In hindsight it was more obvious that Justin Bieber buying NFTs,1900,81,216
lukebelmar,Chat are we cooked?,699,25,117
lukebelmar,"Warren Buffet sleeping nice tonight 

Uncle Warren kept quiet and sold the top",2200,87,97
lukebelmar,"PumpFun made 1.2M in fees yesterday 

You can't put tariffs on gambling. It'll take some time but the casino will come back!",870,42,67
lukebelmar,Being healthy is a bigger flex than being rich,8100,767,423
lukebelmar,If you are an atheist you are retarded,7400,747,681
lukebelmar,You can't put a Tariff on Bitcoin.,3800,289,372
lukebelmar,Where will the market be in 30 days?,305,25,110
lukebelmar,"“When the cops raid the whorehouse, they take the pretty girls, too”. Meaning that even the best asset gets sold off hard when the market dumps

pick winners and chill",965,69,86
lukebelmar,Where are now that I need you,2000,91,317
lukebelmar,The truth is $NIKE probably has every politician on payroll. No chance they allow tariffs to destroy the most iconic sneaker brand in the world. I'm long 58.21,887,50,94
lukebelmar,US manufactured supplements MRR brand,572,18,42
lukebelmar,If you don't feel like you deserve more you will always settle for less. If you worked as if the world was yours it actually would be.,2500,251,160
lukebelmar,Warren Buffet sold the top. Legendary.,20000,1000,579
lukebelmar,If you sell near the bottom you'll forever regret it,2500,200,236
lukebelmar,What do you think happens next?,5600,411,751
lukebelmar,Bitcoin will be worth 300k and you'll be mad you didn't buy at these prices. Act accordingly.,5100,379,320
lukebelmar,"Trump tariffs remind me to the Ukraine war. Market dumped hard just to recover week later.

Dont let them scare you out of solid positions.",2600,191,158
lukebelmar,"Cape Town, South Africa",2400,66,170
lukebelmar,"Good things don't come to those who wait.

Good things come to those that get up and go after the what they want every day.",3100,343,181
lukebelmar,We're still in a bullrun. Bitcoin peak euphoria hasn't hit yet. FOMO is at the top not at the bottom. Work hard and accumulate!,3300,252,236
lukebelmar,South African Side Quest,2300,70,160
lukebelmar,You can't be bearish when the entire crypto cabal has infiltrated the US government,2100,149,199
lukebelmar,Hard work pays off. Just make sure you're working on the right things that push you towards your goal.,3800,357,196
lukebelmar,"What happens when robots start building robots? I predict the invasion of intelligent robots amongst humans within 3 years. 

The iPhone, ChatGPT, and Instagram are examples of innovation that became a major industry over night. Intelligent robotics comes next. Crazy times ahead.",1000,70,130
lukebelmar,You will blink and ETH will be back at 4k,6200,494,1100
lukebelmar,Bet on winners,1500,90,263
lukebelmar,$TON leads the next leg of the alt bullrun,1000,115,175
lukebelmar,Your frequency will create your reality,4300,534,348
lukebelmar,Take action. Less thinking and more doing.,3900,464,317
lukebelmar,Too many people complain about not making it when they never even put in the work in the first place. Your entitlement is keeping you poor.,2400,243,171
lukebelmar,"Most people fail in life because they are distracted.

Everyone and everything is begging for your attention 24/7. Why should you give any energy or attention to things that steal your time and energy? Doesn't make sense.

If you want to win FAST you need to kill all distractions",2700,341,164
lukebelmar,What is the new payment system???,2000,182,314
lukebelmar,Alt Season is Here,3400,232,591
lukebelmar,"“He who works all day has no time to make money.”

- John D. Rockefeller -",12000,1500,290
lukebelmar,Success doesn't come without sacrifice,3500,424,450
lukebelmar,$TSLA $240 is a gift. See you at $300.,1500,90,159
lukebelmar,Cape Town,2600,73,169
lukebelmar,If you're not buying Bitcoin at these prices you don't truly want it. You'll be mad in 3 years time. You can't focus short term.,2600,214,254
lukebelmar,What is a good annual income that you would consider yourself free from daily worries?,2400,126,867
lukebelmar,SIDEQUEST,1200,51,151
lukebelmar,The bullrun continues,2500,178,427
lukebelmar,What are must use softwares to scale in eCommerce?,1400,90,158
lukebelmar,2025 is just getting started for crypto. Stay focused there is a lot to look forward to!,2100,149,269
lukebelmar,What's the most you've made on a trade?,1600,67,517
lukebelmar,How long until $SOL hits $300?,1700,104,545
lukebelmar,What price do you think ETH reaches in 2025?,1200,79,569
lukebelmar,We need SOL ETF to bring back the next leg of the bullrun,1400,106,243
lukebelmar,What are undervalued stocks to look at?,1500,82,628
lukebelmar,Bitcoin is the answer,2600,185,333
lukebelmar,Keep working It'll pay off. Trust the process!,4900,510,345
lukebelmar,"Value growth over getting rich. Making money is a byproduct of learning great skills.

You can't speed run the process.",3700,431,185
lukebelmar,I'll retire when Bitcoin hits 350k,3900,211,523
lukebelmar,Keep working,2400,247,253
lukebelmar,"We built the fastest growing crypto community in the world. Now we will do it again with Ecom. 

Coming soon.",1900,88,146
lukebelmar,Ecom Society,932,53,60
lukebelmar,South African Safari,3400,130,272
lukebelmar,Bitcoin will rise again. Time to buy more,2600,161,246
lukebelmar,What are the top crypto cult communities?,2000,139,1400
lukebelmar,Buying more Bitcoin. Nothing else to buy anyways.,5400,358,714
lukebelmar,"You are what you do not what you say you will do.

Stop talking and start doing. You'll be surprised how quickly life changes for you.",3000,318,140
lukebelmar,"Focus on winning. Dont focus on your problems.

Most issues in life are solved with massive action.",4300,486,195
lukebelmar,What you aren't changing in life you are choosing,2300,232,157
lukebelmar,Some of these memes will rip 50% overnight. You're gonna hate selling the bottom.,2000,128,283
lukebelmar,Every dollar counts. Don't waste your money. You will need it to buy the dip!,3400,222,229
lukebelmar,If you are not learning / leveraging AI you will be left behind. The world is changing fast.,3600,338,278
lukebelmar,Wealth is a mindset,3900,450,293
lukebelmar,"If you're bearish now it's too late.... everything nuked +50%. You're not allowed to be bearish now. This is the time of max pain and time to accumulate winners.

Don't forget that soon you will wake up and your favorite alts will run 50% in a day.",3500,280,261
lukebelmar,"""The life that you live is the life that you chose"" 

LB",2400,258,107
lukebelmar,Winners Win. Losers Complain.,3100,341,211
lukebelmar,Istanbul sidequest,4400,77,163
lukebelmar,Saudi Arabia for Ramadan,3300,90,146
lukebelmar,Success is inevitable if you never quit!,6300,751,353
lukebelmar,We've come such a long way,8300,556,336
lukebelmar,"10 years ago I applied for a job at Chipotle and was told I didn't qualify 

I'm still offended",7500,269,399
lukebelmar,Wtf is this PI coin?,12000,1200,2400
lukebelmar,They are dumping our bags to make sure they can get some cheap Bitcoin. Hold the line!,4100,283,237
