username,content,likes,retweets,replies
muststopnigg,All time highs in April.,2300,177,142
muststopnigg,IT IS GOING TO BE A CRASHOUT SUMMER,43,8,5
muststopnigg,This is nothing yet.,54,5,10
muststopnigg,"The Lion is a cat meme that started on CT and is now viral with normies 

Popcat it 

-LionRapistFan69",32,4,8
muststopnigg,Your shit look like Iran,93,5,14
muststopnigg,Delete one account forever,287,27,47
muststopnigg,"I’m Zyzz (NiggerMurad) regular murad is just a loser. 

He’s mirin my melanin serratus",95,8,11
muststopnigg,Boutta drop into Tilted towers.,104,6,12
muststopnigg,Where my scar at?,248,26,22
muststopnigg,Small dog hotdog reseller wants you to know he is “raping” the Lion while selling 6 sol at a time for a loss,137,7,13
muststopnigg,Cryptocurrency will save everyone.,114,8,22
muststopnigg,I have come across some interesting technology.,88,12,13
muststopnigg,"The next animal coin that runs to 20m (thelion) is going to rape every small dog that barks.

The first animal coin that’s actually not gay.",78,7,11
muststopnigg,The lion molests anything that breathes.,83,4,7
muststopnigg,The lion (me) rapes the small dog (gay murad) when he barks.,100,4,8
muststopnigg,If the drugs aren't Kosher and Jew made I don't want them,1800,257,28
muststopnigg,".
@pumpdotfun
 and CT were early to the Lion now its raping small dogs on normie platforms 

Regards",56,6,7
muststopnigg,The soy members of CT (small dogs) are going to absolutely hate the next animal coin that goes to 20m,132,9,19
muststopnigg,small dog keeps barking.,209,12,23
muststopnigg,These tariffs just remind me of obnoxious small dogs.,122,8,5
muststopnigg,Tunnel tech cooking,519,40,19
muststopnigg,"Six months of Crashout Tech 

If I were to pick one word to describe this entire cycle it would be Crashout 

Shalom Crashout 

-DRNlGGER",128,21,25
muststopnigg,"This pump is nothing yet. 

Rape bears with brutal force. 
NiggerMurad Mode",89,4,13
muststopnigg,SUPER JEW IS COMING FOR ALL YOUR SHEKELS,57,15,12
muststopnigg,Fuck it All time highs in April,90,2,10
muststopnigg,"The Shekel solves all your problems. 

Israel is our biggest ally",53,3,4
muststopnigg,"SOL just hit $99 

i’m about to drink some henny and beat my wife",93,4,11
