username,content,likes,retweets,replies
notthreadguy,i gave you goat at 1.4b i’m now giving you bitcoin at 84k,343,14,76
notthreadguy,coinbase listings has a chance to do the funniest thing ever,0,0,97
notthreadguy,the entire world was about to bridge to base,648,33,134
notthreadguy,just saw a car accident too do i just like hide inside,49,2,35
notthreadguy,announcement of an announcement,304,15,60
notthreadguy,it’s just business,172,4,24
notthreadguy,thank you hash cough for the repost this one will be staying up too!,26,0,4
notthreadguy,stocks are just memecoins with higher marketcaps,798,48,164
notthreadguy,MY ONLY BULL THESIS IS EVERYONE ON THIS APP IS RETARDED,259,20,56
notthreadguy,m4 is back on the fucking menu baby,26,0,1
notthreadguy,hey baby you still wanna go to aruba?,24,0,4
notthreadguy,SMOKING THAT RECESSION PACK FUCK YOU TALM ABOUT,28,1,2
notthreadguy,my ONLY bull thesis is everyone on this app is retarded,672,43,156
notthreadguy,glad we’re on the same page,47,1,14
notthreadguy,can colossal de-extinct my will to live,154,8,38
notthreadguy,where the FUCK is eric trump,659,24,140
notthreadguy,wait why the fuck is scottie pippen on ct again?,20,0,6
notthreadguy,like how did that happen?,15,0,4
notthreadguy,don’t look,298,18,101
notthreadguy,wait i should probably go to church at least once before i have to ask god to save my portfolio and the global economy right? idk how it works tbh,75,5,14
notthreadguy,"oh i also completely made my buy levels up 

vibe trading",56,2,8
notthreadguy,at the club catching up on year old dms,168,5,56
notthreadguy,nice 7 days of la weather coming up,39,1,9
notthreadguy,everyone long good luck,72,0,11
notthreadguy,"@udiWertheimer
 can i claim a wizard now or how does this work",57,5,22
notthreadguy,"trump should announce a 100,000% tarrif on podcast mics",404,17,93
notthreadguy,"most popular jobs in 2025

1. glorified email answerer
2. i have a podcast

yea spy to 250",52,1,6
notthreadguy,thanks hash_cough for the RT i will not be deleting this tweet now,18,0,2
notthreadguy,why hasn’t RASMR commented on the bitcoin relative strength?,195,9,70
notthreadguy,today is unironically the perfect day to launch a serious coin,869,54,267
notthreadguy,i only tweeted for monad threadguy holders,120,7,40
notthreadguy,"@cryptunez
 send that eth now pls",35,0,14
notthreadguy,"If you've been missing his streams, The Lads have you covered, because 
@notthreadguy
 joins the pod for Episode #88 

 OUT NOW on 
@YouTube
 & 
@Spotify
! 

In Episode #88 we cover:

 Blurry Ethical Lines In Crypto
 The Memecoin Extraction Game",71,12,13
notthreadguy,"Everyone that leaves crypto for a couple months always comes back to say “wow guys haha you have no idea how bad this place fucking sucks from the outside looking in.” 

I always thought they were retarded. Until I did it, for a couple weeks and had a moment of “maybe they’re",1300,112,351
notthreadguy,fit update,582,64,187
notthreadguy,vibe update,337,13,63
notthreadguy,"dear crypto twitter,",6600,740,2800
notthreadguy,hey! goodmorning,1000,84,811
notthreadguy,BANGGGGGGGGGGG,348,22,151
notthreadguy,sorry but polymarket retweeting this is hilarious lmao,214,17,79
notthreadguy,que se joda argentina ese estúpido culo de puta campestre javier es una perra estafadora de culo perra que se joda a messi también mientras nosotros en eso es una perra,784,138,395
notthreadguy,i am crying in the casino really loud,1300,109,254
notthreadguy,"i thought max pain was being single on valentines day

i got molested by a country AND im single",1600,103,252
notthreadguy,"live yapping

bullish news but no pump

meebits acquisition interview soon",52,6,23
notthreadguy,$100,162,7,38
notthreadguy,"stream at 140pm pst

YAPP updates. a lot

chat with 
@sergitosergito
 215pm pst about acquiring meebits 

Yaps",54,9,47
notthreadguy,just lunch it and stfu,256,19,137
notthreadguy,"a scheduled memecoin launch has never ended well in the history of crypto 

like ever

ever ever",1400,100,257
notthreadguy,who should i interview on stream today,311,27,332
notthreadguy,"HOLY SHIT

I WON THE THREADGUY FUCK A FAN CONTEST FOR VALENTINES DAY",563,14,42
notthreadguy,If you like this tweet I will interpret it as emotional openness to me asking you to be my valentine,311,3,99
notthreadguy,most viewed crypto youtube video this month,4100,229,307
notthreadguy,i watched it 4 times,310,8,30
notthreadguy,We need threadguy to get in the room with bitboy RIGHT NOW,57,6,11
notthreadguy,"5 minutes

what do you want me to ask?",128,6,128
notthreadguy,"Interviewing the CEO of opensea about their new launch and UPCOMING TOKEN in 20 minutes

help me prep",161,20,177
notthreadguy,"cz is joking about knowing nothing about memes right 

can dave portnoy educate him?",325,10,103
notthreadguy,"stream 140pm pst

port updates 

yap

monad eco teams 215pm 

yap

INTERVIEW WITH OPENSEA CEO ABOUT UPCOMING TOKEN (1st public interview) 315pm pst",70,9,26
