username,content,likes,retweets,replies
rajgokal,"if you're in crypto, pivot to solana",4900,775,817
rajgokal,"Happening now: 
@rajgokal
 takes the main stage with 
@JulesUrbach
 to talk about 
@Solana
 and 
@RenderNetwork
 in 2025. 

#RenderCon",215,33,15
rajgokal,"and it only took several years of dm'ing 
@dfinzer
, then giving up completely, then waiting several more years!",329,31,60
rajgokal,"solana

2020              2025                2030",521,60,47
rajgokal,the times can change quickly,113,15,36
rajgokal,we are all miyazaki on this blessed day,462,131,131
rajgokal,"economic freedom for all begins with building and growing products people want.

the past year has been a watershed moment for consumer, mobile, and retail crypto.

excited to work with 
@nikitabier
 to accelerate all three to converge.

internet capital markets!",645,78,52
rajgokal,"Autists had a great run, the AI future belongs to ADHD",9900,1000,400
rajgokal,blackrock is now on solana,1800,309,194
rajgokal,"advice to new founders:

go to every conference you can and yell out the name of your company to the speakers. this is simply an efficient, winning strategy.",553,52,97
rajgokal,"once again everyone's taking a joke post seriously.

this app is broken",57,1,18
rajgokal,"solana launched 5 years ago today:
- covid lockdowns were rolling across the world
- stock market just had the largest drop since 1987
- investors called every portco to call for layoffs
- every other launch in crypto was cancelled

if we could launch then, you can launch now",2400,385,279
rajgokal,"Keep It Simple Stupid: 

People often want to design from first principles instead of just incremental changes in the right direction. Usually the latter is what everyone actually needs.  

5k year for boxes, +15k a year for overhead * 1000 boxes ~= $20m a year for hardware and",279,32,4
rajgokal,"Shenzhen is important for DePIN bc 95% of IoT devices; 90% global electronics are produced in the metro area

Solana is global infrastructure that supports local innovation",216,23,21
rajgokal,is this a dream?,1100,73,136
rajgokal,It’s pretty embarrassing L2s aren’t already 2x faster than Solana. It’s a centralized server ffs. None of the same data bottlenecks as having 3000 validators,343,30,24
rajgokal,"core to solana's dna is an embrace of pain and failure.

we fail hard, fast, and frequently, but we all eventually learn that past every string of failures is something rare, worth fighting for.

learn to love the pain. build with others who feel that love.",412,50,88
rajgokal,what does it mean to be a solana girl,397,41,178
rajgokal,"Crypto is the future. Here’s how we’re going to accelerate:

1. Offer more selection of crypto assets for our customers

2. Continue to invest in the Robinhood Wallet

3. Bring the “Robinhood Effect” to the institutional crypto market through the integration of Bitstamp

4.",2300,374,414
rajgokal,"this, and breakpoint, are the two biggest events of the year. join us to celebrate american dynamism in the most freedom-loving sector of tech.

the attendee list will blow your mind.",371,43,118
rajgokal,"https://time.fun/raj

finally got past the onboarding, the team has been fighting to scale the app with all the launch activity!

thanks http://time.fun team!",680,160,85
rajgokal,"love the brilliant 
@doodles
 art.

welcome to solana!",1200,103,117
rajgokal,nice!,252,15,23
rajgokal,"Current inflation is 4.728%
https://solanacompass.com/tokenomics

APY on staking is so high because of REV",26,7,7
rajgokal,What's the most important chain for us to support on day 1?,119,10,89
rajgokal,"AI agent game built by 
@templecrash
 one of the strongest game founders I’ve ever met.

Built on solana.

LFG",203,20,21
rajgokal,"if you are building in crypto and getting approached to participate in a SPAC, please DM me about going public onchain instead.",517,49,107
rajgokal,another win,316,23,38
rajgokal,"attack the chain, attack the ecosystem, attack me, whatever.

attack toly and I’ll kill you",2300,220,257
rajgokal,strength in numbers,70,2,22
rajgokal,"gm, want to learn how to build a CRUD app on Solana? 

new YouTube channel just dropped - check out the full tutorial below",166,23,21
rajgokal,"we used to say 1 year without outages and we’d remove the “beta” from mainnet.

wdyt 
@aeyakovenko",657,53,84
rajgokal,waste of time. top signal tbh,235,5,29
rajgokal,"fun fact: I made a ""powered by solana"" graphic in the early days and went around pushing devs to put it on their homepage.

within a couple weeks, found that it made no difference for users or developers. neither cared about such signaling.

all they wanted was fast, cheap tx's",512,35,85
rajgokal,"imo this might work better now, since solana is known as an easy, fast, cheap network by everyone in crypto and many outside the industry.

it works best when the brand is already trusted and users know the UX is going to ""sing"" if they see that logo.",96,6,16
rajgokal,deja vu,429,23,40
rajgokal,"welcome to the dot fun boom

H/T 
@RyanWatkins_",399,57,58
rajgokal,yes,1000,122,87
rajgokal,my goal is for you to dread the idea of not being online,1300,172,223
rajgokal,as much as I dread it myself,140,0,13
rajgokal,fast and steady wins the race,5200,623,844
rajgokal,the bots know,593,73,48
rajgokal,"you don’t need permission to build or use open source and open protocols.

you must get permission to use anything and everything else.

think about it.",11000,1600,871
rajgokal,"increase bandwidth, reduce latency ⏎
internet capital markets ⏎
founders, apps, tokens ⏎
permissionless finance",1000,176,101
rajgokal,The joke becomes the standard.,65,7,8
rajgokal,internet capital markets,1700,264,188
rajgokal,"in q4 of 2024 I got asked a lot about whether solana could compete with better funded, centralized platforms that launched their own L2's and L1's. the main questions were about whether developers could count on solana for distribution.

I haven't heard that question in 2025.",469,30,45
rajgokal,https://x.com/mdudas/status/1883117108185464916…,38,3,6
rajgokal,"BREAKING: @virtuals_io, the largest AI agent launchpad, is expanding to Solana! The move introduces a Meteora Pool, a 1% SOL trading fee reserve, grants of 42K $VIRTUAL tokens for builders, and a March AI Hackathon with Solana Foundation support.",39,0,5
rajgokal,the user is always right,219,44,14
rajgokal,expect more of this,957,94,37
rajgokal,solana,2100,254,292
rajgokal,tik tok real inflation index,49,5,20
rajgokal,"advice from YC, but 100% applies to teams building on solana as well",430,64,27
rajgokal,this is why I left for texas,198,14,30
rajgokal,"what they think 
@solana
 twitter account does",196,14,50
rajgokal,sick,465,31,35
rajgokal,fascinating,681,56,36
rajgokal,stoked,952,29,89
